,artikelnr:,text:,jci1.0:,jci1.3:,versie:
0,/Hoofdstuk1/Artikel1,"Allen die zich in Nederland bevinden, worden in gelijke gevallen gelijk behandeld. Discriminatie wegens godsdienst, levensovertuiging, politieke gezindheid, ras, geslacht of op welke grond dan ook, is niet toegestaan.",1.0:c:BWBR0001840&artikel=1&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=1&z=2018-12-21&g=2018-12-21,21-12-2018
1,/Hoofdstuk1/Artikel2," $ Lid1 :  $  De wet regelt wie Nederlander is.  $ Lid2 :  $  De wet regelt de toelating en de uitzetting van vreemdelingen.  $ Lid3 :  $  Uitlevering kan slechts geschieden krachtens verdrag. Verdere voorschriften omtrent uitlevering worden bij de wet gegeven.  $ Lid4 :  $  Ieder heeft het recht het land te verlaten, behoudens in de gevallen, bij de wet bepaald.",1.0:c:BWBR0001840&artikel=2&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=2&z=2018-12-21&g=2018-12-21,21-12-2018
2,/Hoofdstuk1/Artikel3,Alle Nederlanders zijn op gelijke voet in openbare dienst benoembaar.,1.0:c:BWBR0001840&artikel=3&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=3&z=2018-12-21&g=2018-12-21,21-12-2018
3,/Hoofdstuk1/Artikel4,"Iedere Nederlander heeft gelijkelijk recht de leden van algemeen vertegenwoordigende organen te verkiezen alsmede tot lid van deze organen te worden verkozen, behoudens bij de wet gestelde beperkingen en uitzonderingen.",1.0:c:BWBR0001840&artikel=4&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=4&z=2018-12-21&g=2018-12-21,21-12-2018
4,/Hoofdstuk1/Artikel5,Ieder heeft het recht verzoeken schriftelijk bij het bevoegd gezag in te dienen.,1.0:c:BWBR0001840&artikel=5&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=5&z=2018-12-21&g=2018-12-21,21-12-2018
5,/Hoofdstuk1/Artikel6," $ Lid1 :  $  Ieder heeft het recht zijn godsdienst of levensovertuiging, individueel of in gemeenschap met anderen, vrij te belijden, behoudens ieders verantwoordelijkheid volgens de wet.  $ Lid2 :  $  De wet kan ter zake van de uitoefening van dit recht buiten gebouwen en besloten plaatsen regels stellen ter bescherming van de gezondheid, in het belang van het verkeer en ter bestrijding of voorkoming van wanordelijkheden.",1.0:c:BWBR0001840&artikel=6&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=6&z=2018-12-21&g=2018-12-21,21-12-2018
6,/Hoofdstuk1/Artikel7," $ Lid1 :  $  Niemand heeft voorafgaand verlof nodig om door de drukpers gedachten of gevoelens te openbaren, behoudens ieders verantwoordelijkheid volgens de wet.  $ Lid2 :  $  De wet stelt regels omtrent radio en televisie. Er is geen voorafgaand toezicht op de inhoud van een radio- of televisieuitzending.  $ Lid3 :  $  Voor het openbaren van gedachten of gevoelens door andere dan in de voorgaande leden genoemde middelen heeft niemand voorafgaand verlof nodig wegens de inhoud daarvan, behoudens ieders verantwoordelijkheid volgens de wet. De wet kan het geven van vertoningen toegankelijk voor personen jonger dan zestien jaar regelen ter bescherming van de goede zeden.  $ Lid4 :  $  De voorgaande leden zijn niet van toepassing op het maken van handelsreclame.",1.0:c:BWBR0001840&artikel=7&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=7&z=2018-12-21&g=2018-12-21,21-12-2018
7,/Hoofdstuk1/Artikel8,Het recht tot vereniging wordt erkend. Bij de wet kan dit recht worden beperkt in het belang van de openbare orde.,1.0:c:BWBR0001840&artikel=8&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=8&z=2018-12-21&g=2018-12-21,21-12-2018
8,/Hoofdstuk1/Artikel9," $ Lid1 :  $  Het recht tot vergadering en betoging wordt erkend, behoudens ieders verantwoordelijkheid volgens de wet.  $ Lid2 :  $  De wet kan regels stellen ter bescherming van de gezondheid, in het belang van het verkeer en ter bestrijding of voorkoming van wanordelijkheden.",1.0:c:BWBR0001840&artikel=9&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=9&z=2018-12-21&g=2018-12-21,21-12-2018
9,/Hoofdstuk1/Artikel10," $ Lid1 :  $  Ieder heeft, behoudens bij of krachtens de wet te stellen beperkingen, recht op eerbiediging van zijn persoonlijke levenssfeer.  $ Lid2 :  $  De wet stelt regels ter bescherming van de persoonlijke levenssfeer in verband met het vastleggen en verstrekken van persoonsgegevens.  $ Lid3 :  $  De wet stelt regels inzake de aanspraken van personen op kennisneming van over hen vastgelegde gegevens en van het gebruik dat daarvan wordt gemaakt, alsmede op verbetering van zodanige gegevens.",1.0:c:BWBR0001840&artikel=10&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=10&z=2018-12-21&g=2018-12-21,21-12-2018
