,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3
0,Hoofdstuk2,Afdeling2.1,Artikel2:1,Lid1,,,Een ieder kan zich ter behartiging van zijn belangen in het verkeer met bestuursorganen laten bijstaan of door een gemachtigde laten vertegenwoordigen.,01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:1&lid=1&z=2020-04-15&g=2020-04-15
1,Hoofdstuk2,Afdeling2.1,Artikel2:1,Lid2,,,Het bestuursorgaan kan van een gemachtigde een schriftelijke machtiging verlangen.,01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:1&lid=2&z=2020-04-15&g=2020-04-15
2,Hoofdstuk2,Afdeling2.1,Artikel2:2,Lid1,,,"Het bestuursorgaan kan bijstand of vertegenwoordiging door een persoon tegen wie ernstige bezwaren bestaan, weigeren.",01-09-2008,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:2&lid=1&z=2020-04-15&g=2020-04-15
3,Hoofdstuk2,Afdeling2.1,Artikel2:2,Lid2,,,De belanghebbende en de in het eerste lid bedoelde persoon worden van de weigering onverwijld schriftelijk in kennis gesteld.,01-09-2008,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:2&lid=2&z=2020-04-15&g=2020-04-15
4,Hoofdstuk2,Afdeling2.1,Artikel2:2,Lid3,,,Het eerste lid is niet van toepassing ten aanzien van advocaten.,01-09-2008,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:2&lid=3&z=2020-04-15&g=2020-04-15
5,Hoofdstuk2,Afdeling2.1,Artikel2:3,Lid1,,,"Het bestuursorgaan zendt geschriften tot behandeling waarvan kennelijk een ander bestuursorgaan bevoegd is, onverwijld door naar dat orgaan, onder gelijktijdige mededeling daarvan aan de afzender.",01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:3&lid=1&z=2020-04-15&g=2020-04-15
6,Hoofdstuk2,Afdeling2.1,Artikel2:3,Lid2,,,"Het bestuursorgaan zendt geschriften die niet voor hem bestemd zijn en die ook niet worden doorgezonden, zo spoedig mogelijk terug aan de afzender.",01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:3&lid=2&z=2020-04-15&g=2020-04-15
7,Hoofdstuk2,Afdeling2.1,Artikel2:4,Lid1,,,Het bestuursorgaan vervult zijn taak zonder vooringenomenheid.,01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:4&lid=1&z=2020-04-15&g=2020-04-15
8,Hoofdstuk2,Afdeling2.1,Artikel2:4,Lid2,,,"Het bestuursorgaan waakt ertegen dat tot het bestuursorgaan behorende of daarvoor werkzame personen die een persoonlijk belang bij een besluit hebben, de besluitvorming benvloeden.",01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:4&lid=2&z=2020-04-15&g=2020-04-15
9,Hoofdstuk2,Afdeling2.1,Artikel2:5,Lid1,,,"Een ieder die is betrokken bij de uitvoering van de taak van een bestuursorgaan en daarbij de beschikking krijgt over gegevens waarvan hij het vertrouwelijke karakter kent of redelijkerwijs moet vermoeden, en voor wie niet reeds uit hoofde van ambt, beroep of wettelijk voorschrift ter zake van die gegevens een geheimhoudingsplicht geldt, is verplicht tot geheimhouding van die gegevens, behoudens voor zover enig wettelijk voorschrift hem tot mededeling verplicht of uit zijn taak de noodzaak tot mededeling voortvloeit.",01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:5&lid=1&z=2020-04-15&g=2020-04-15
