,artikelnr:,text:,jci1.0:,jci1.3:,versie:
0,/Hoofdstuk1/Artikel1.1,"Deze aanwijzingen hebben betrekking op regelingen die onder ministeriële
                            verantwoordelijkheid tot stand komen, en, voor zover uitdrukkelijk aangegeven, op verdragen,
                            bindende besluiten van instellingen van de Europese Unie en andere besluiten van
                            volkenrechtelijke organisaties.",1.0:c:BWBR0005730&artikel=1.1&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=1&aanwijzing=1.1&z=2018-01-01&g=2018-01-01,01-01-2018
1,/Hoofdstuk1/Artikel1.2,"Deze aanwijzingen worden in acht genomen door de ministers en staatssecretarissen en de
                                onder hen ressorterende personen die bij de voorbereiding en vaststelling van regelingen
                                zijn betrokken. $$ Afwijking van deze aanwijzingen is slechts toegestaan, indien onverkorte toepassing
                                daarvan uit een oogpunt van goede regelgeving niet tot aanvaardbare resultaten zou
                                leiden.",1.0:c:BWBR0005730&artikel=1.2&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=1&aanwijzing=1.2&z=2018-01-01&g=2018-01-01,01-01-2018
2,/Hoofdstuk1/Artikel1.3,"Onder regelingen wordt in deze aanwijzingen verstaan: $$ algemeen verbindende voorschriften; $$ interne regels; $$ beleidsregels. $$ Onder EU-regelgeving wordt in deze aanwijzingen verstaan: door de instellingen van de
                                Europese Unie of de Europese Gemeenschap voor Atoomenergie vastgestelde: $$ verordeningen; $$ richtlijnen. $$ Onder bindende EU-rechtshandelingen wordt in deze aanwijzingen verstaan: door de
                                instellingen van de Europese Unie of de Europese Gemeenschap voor Atoomenergie
                                vastgestelde: $$ verordeningen; $$ richtlijnen; $$ besluiten zonder vermelding van adressaten; $$ besluiten met vermelding van adressaten, voor zover mede tot Nederland
                                        gericht.",1.0:c:BWBR0005730&artikel=1.3&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=1&aanwijzing=1.3&z=2018-01-01&g=2018-01-01,01-01-2018
3,/Hoofdstuk2/Paragraaf2.1/Artikel2.1,"Voor het normeren van gedragingen, handelingen of bevoegdheden worden algemeen
                                verbindende voorschriften, interne regels of beleidsregels gebruikt.",1.0:c:BWBR0005730&artikel=2.1&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.1&z=2018-01-01&g=2018-01-01,01-01-2018
4,/Hoofdstuk2/Paragraaf2.1/Artikel2.2,"Tot het tot stand brengen van een regeling wordt alleen besloten indien de noodzaak
                                daarvan is komen vast te staan.",1.0:c:BWBR0005730&artikel=2.2&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.2&z=2018-01-01&g=2018-01-01,01-01-2018
5,/Hoofdstuk2/Paragraaf2.1/Artikel2.3,"Alvorens tot het tot stand brengen van een regeling wordt besloten, worden de volgende
                                stappen gezet: $$ kennis wordt vergaard over de relevante feiten en omstandigheden met betrekking
                                        tot het bewuste onderwerp; $$ de doelen die moeten worden bereikt, worden zo concreet en nauwkeurig mogelijk
                                        vastgesteld; $$ onderzocht wordt of de doelen kunnen worden bereikt door middel van het
                                        zelfregulerend vermogen in de betrokken sector of sectoren, of dat daarvoor
                                        overheidsinterventie noodzakelijk is; $$ indien overheidsinterventie noodzakelijk is, wordt onderzocht of de gekozen
                                        doelen kunnen worden bereikt door aanpassing of beter gebruik van bestaande
                                        instrumenten dan wel, indien dit niet mogelijk blijkt, welke nieuwe instrumenten
                                        kunnen worden ingezet om de doelen te bereiken; $$ de diverse mogelijkheden worden zorgvuldig tegen elkaar afgewogen.",1.0:c:BWBR0005730&artikel=2.3&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.3&z=2018-01-01&g=2018-01-01,01-01-2018
6,/Hoofdstuk2/Paragraaf2.1/Artikel2.4,"Met het doen van uitspraken en toezeggingen over nieuwe regelingen wordt grote
                                terughoudendheid betracht.",1.0:c:BWBR0005730&artikel=2.4&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.4&z=2018-01-01&g=2018-01-01,01-01-2018
7,/Hoofdstuk2/Paragraaf2.1/Artikel2.5,"Bij het bepalen van de keuze voor een mogelijkheid tot overheidsinterventie om een doel
                                te bereiken wordt zoveel mogelijk aangesloten bij het zelfregulerend vermogen in de
                                maatschappij.",1.0:c:BWBR0005730&artikel=2.5&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.5&z=2018-01-01&g=2018-01-01,01-01-2018
8,/Hoofdstuk2/Paragraaf2.1/Artikel2.6,"Gestreefd wordt naar duidelijkheid en eenvoud van regelingen en naar een bestendig
                                karakter daarvan.",1.0:c:BWBR0005730&artikel=2.6&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.6&z=2018-01-01&g=2018-01-01,01-01-2018
9,/Hoofdstuk2/Paragraaf2.1/Artikel2.7,"Tot het tot stand brengen van een regeling wordt niet besloten dan nadat is nagegaan
                                    of in voldoende mate handhaving te realiseren valt. $$ Hierbij wordt onderzocht of handhaving het beste langs bestuursrechtelijke,
                                    civielrechtelijke of strafrechtelijke weg dan wel op andere wijze kan plaatsvinden.",1.0:c:BWBR0005730&artikel=2.7&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.7&z=2018-01-01&g=2018-01-01,01-01-2018
10,/Hoofdstuk2/Paragraaf2.1/Artikel2.8,"Een regeling wordt op zodanige wijze ingericht dat zij zo weinig mogelijk conflicten
                                oproept. Daartoe wordt onder meer aan het volgende voldaan: $$ het aantal beslismomenten waartoe toepassing van de regeling aanleiding geeft,
                                        wordt tot een minimum beperkt; $$ ingeval bestuurlijke boetes mogelijk worden gemaakt, worden daarvoor bindende
                                        boetemaxima vastgesteld; $$ de aard en omvang van uitkeringen, voorzieningen en andere voordelen worden zo
                                        duidelijk mogelijk omschreven.",1.0:c:BWBR0005730&artikel=2.8&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.8&z=2018-01-01&g=2018-01-01,01-01-2018
11,/Hoofdstuk2/Paragraaf2.1/Artikel2.9,"Bij het opstellen van een regeling wordt tevens bezien welke neveneffecten op bestaande
                                of voorgenomen regelgeving of beleidsvelden kunnen optreden en welke consequenties dit
                                dient te hebben voor het voorstel.",1.0:c:BWBR0005730&artikel=2.9&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.9&z=2018-01-01&g=2018-01-01,01-01-2018
