,artikelnr:,text:,jci1.0:,jci1.3:,versie:
0,/Hoofdstuk1/Afdeling1/Artikel1,"In deze wet en de daarop berustende bepalingen wordt verstaan onder:  $ Onderdeel_1 :  $  aanvullend document: document waarin de aanvullende informatie is opgenomen, bedoeld in artikel 6, eerste lid, tweede alinea van de Richtlijn 2011/98/EU van het Europees Parlement en de Raad van 13 december 2011 betreffende n enkele aanvraagprocedure voor een gecombineerde vergunning voor onderdanen van derde landen om te verblijven en te werken op het grondgebied van een lidstaat, alsmede inzake een gemeenschappelijk pakket rechten voor werknemers uit derde landen die legaal in een lidstaat verblijven (PbEU 2011, L343);  $ Onderdeel_2 :  $  ambtenaren belast met de grensbewaking: de ambtenaren, bedoeld in ;artikel 46 ambtenaren belast met de grensbewaking: de ambtenaren, bedoeld in ;  $ Onderdeel_3 :  $  ambtenaren belast met het toezicht op referenten: de ambtenaren, bedoeld in ;artikel 47a ambtenaren belast met het toezicht op referenten: de ambtenaren, bedoeld in ;  $ Onderdeel_4 :  $  ambtenaren belast met het toezicht op vreemdelingen: de ambtenaren, bedoeld in ;artikel 47 ambtenaren belast met het toezicht op vreemdelingen: de ambtenaren, bedoeld in ;  $ Onderdeel_5 :  $  asiel: het verblijf van de vreemdeling in Nederland op de gronden, bedoeld in de  en ;artikelen 29 asiel: het verblijf van de vreemdeling in Nederland op de gronden, bedoeld in de  en ;  $ Onderdeel_6 :  $  buitengrenzen: de Nederlandse zeegrenzen, alsmede lucht- of zeehavens waar grenscontrole op personen wordt uitgeoefend;  $ Onderdeel_7 :  $  Dublinverordening: de verordening (EU) nr. 604/2013 van het Europees Parlement en de Raad van 26 juni 2013 tot vaststelling van de criteria en instrumenten om te bepalen welke lidstaat verantwoordelijk is voor de behandeling van een verzoek om internationale bescherming dat door een onderdaan van een derde land of een staatloze bij een van de lidstaten wordt ingediend (PbEU 2013, L 180);  $ Onderdeel_8 :  $  erkende referent: de referent die krachtens  als zodanig is erkend;artikel 2c erkende referent: de referent die krachtens  als zodanig is erkend;  $ Onderdeel_9 :  $  Europese verordeningen die betrekking hebben op biometrische gegevens:  $ Onderdeel1 :  $  Verordening (EU) nr. 603/2013 van het Europees Parlement en de Raad van 26 juni 2013 betreffende de instelling van Eurodac voor de vergelijking van vingerafdrukken ten behoeve van een doeltreffende toepassing van Verordening (EU) nr. 604/2013 tot vaststelling van de criteria en instrumenten om te bepalen welke lidstaat verantwoordelijk is voor de behandeling van een verzoek om internationale bescherming dat door een onderdaan van een derde land of een staatloze bij een van de lidstaten wordt ingediend en betreffende verzoeken van rechtshandhavingsinstanties van de lidstaten en Europol om vergelijkingen van Eurodac-gegevens ten behoeve van rechtshandhaving, en tot wijziging van Verordening (EU) nr. 1077/2011 tot oprichting van een Europees Agentschap voor het operationeel beheer van grootschalige IT- systemen op het gebied van vrijheid, veiligheid en recht (PBEU L 180/1);  $ Onderdeel2 :  $  Verordening (EG) 767/2008 van het Europees Parlement en de Raad van 9 juli 2008 betreffende het visuminformatiesysteem (VIS) en de uitwisseling tussen de lidstaten van gegevens op het gebied van visa voor kort verblijf (PbEU L218);  $ Onderdeel3 :  $  Verordening (EG) 810/2009 van het Europees Parlement en de Raad van 13 juli 2009 tot vaststelling van een gemeenschappelijke visumcode (Pb EU L 243);  $ Onderdeel4 :  $  Verordening (EG) nr. 1030/2002 van de Raad van de Europese Unie van 13 juni 2002 betreffende de invoering van een uniform model voor verblijfstitels voor onderdanen van derde landen (PbEU L157);  $ Onderdeel_10 :  $  gecombineerde vergunning: verblijfsvergunning regulier voor bepaalde tijd als bedoeld in , verleend door Onze Minister onder de beperking arbeid in loondienst, lerend werken of seizoenarbeid, tevens zijnde vergunning voor het verrichten van werkzaamheden bij een specifieke werkgever, met het aanvullend document;artikel 14 gecombineerde vergunning: verblijfsvergunning regulier voor bepaalde tijd als bedoeld in , verleend door Onze Minister onder de beperking arbeid in loondienst, lerend werken of seizoenarbeid, tevens zijnde vergunning voor het verrichten van werkzaamheden bij een specifieke werkgever, met het aanvullend document;  $ Onderdeel_11 :  $  gemeenschapsonderdanen:  $ Onderdeel1 :  $  onderdanen van de lidstaten van de Europese Unie die op grond van het Verdrag betreffende de werking van de Europese Unie gerechtigd zijn een andere lidstaat binnen te komen en er te verblijven;  $ Onderdeel2 :  $  familieleden van de onder 1 genoemden die de nationaliteit van een derde staat bezitten en die uit hoofde van een ter toepassing van het Verdrag betreffende de werking van de Europese Unie genomen besluit gerechtigd zijn een lidstaat binnen te komen en er te verblijven;  $ Onderdeel3 :  $  onderdanen van een staat die partij is bij de Overeenkomst betreffende de Europese Economische Ruimte van 2 mei 1992, die ter zake van binnenkomst en verblijf in een lidstaat rechten genieten die gelijk zijn aan die van burgers van de lidstaten van de Europese Unie;  $ Onderdeel4 :  $  familieleden van de onder 3 genoemden die de nationaliteit van een derde staat bezitten en die krachtens bovengenoemde Overeenkomst gerechtigd zijn een lidstaat binnen te komen en er te verblijven;  $ Onderdeel5 :  $  onderdanen van de Zwitserse Bondsstaat, indien zij verblijven op grond van de op 21 juni 1999 te Luxemburg totstandgekomen Overeenkomst tussen de Europese Gemeenschap en haar lidstaten, enerzijds, en de Zwitserse Bondsstaat, anderzijds, over het vrije verkeer van personen (Trb. 2000, 16 en 86);  $ Onderdeel6 :  $  familieleden van de onder 5 genoemden die de nationaliteit van een derde staat bezitten en die krachtens de onder 5 genoemde Overeenkomst gerechtigd zijn een lidstaat binnen te komen en er te verblijven;  $ Onderdeel_12 :  $  grensprocedure: de asielprocedure, bedoeld in artikel 43 van de Procedurerichtlijn;  $ Onderdeel_13 :  $  herhaalde aanvraag: een aanvraag, die op grond van  kan worden afgewezen;artikel 4:6, tweede lid, van de Algemene wet bestuursrecht  $ Onderdeel_14 :  $  inreisverbod: het inreisverbod, bedoeld in artikel 3, punt 6, van de Terugkeerrichtlijn;  $ Onderdeel_15 :  $  internationale bescherming: internationale bescherming als bedoeld in artikel 2, onder a, van de Kwalificatierichtlijn;  $ Onderdeel_16 :  $  de korpschef: de korpschef, bedoeld in ;artikel 27 van de Politiewet 2012  $ Onderdeel_17 :  $  Kwalificatierichtlijn: de richtlijn nr. 2011/95/EU van het Europees Parlement en de Raad van 13 december 2011 inzake normen voor de erkenning van onderdanen van derde landen of staatlozen als personen die internationale bescherming genieten, voor een uniforme status voor vluchtelingen of voor personen die in aanmerking komen voor subsidiaire bescherming, en voor de inhoud van de verleende bescherming (PbEU 2011, L 337);  $ Onderdeel_18 :  $  langdurig ingezetene: houder van een EU-verblijfsvergunning voor langdurig ingezetenen als bedoeld in  van de Raad van de Europese Unie van 25 november 2003 betreffende de status van langdurig ingezeten onderdanen van derde landen (PbEU 2004, L16), zoals gewijzigd door /EU van het Europees Parlement en de Raad teneinde haar werkingssfeer uit te breiden tot personen die internationale bescherming genieten (PbEU 2011, L 132), dan wel van een door een andere lidstaat van de Europese Unie op grond van deze richtlijn afgegeven EU-verblijfsvergunning voor langdurig ingezetenen;richtlijn nr. 2003/109/EG  $ Onderdeel_19 :  $  minderjarige: eenieder die de leeftijd van 18 jaar nog niet heeft bereikt;  $ Onderdeel_20 :  $  Onze Minister: Onze Minister van Veiligheid en Justitie;  $ Onderdeel_21 :  $  Opvangrichtlijn: Richtlijn 2013/33/EU van het Europees Parlement en de Raad van 26 juni 2013 tot vaststelling van normen voor de opvang van verzoekers om internationale bescherming (PbEU 2013, L 180);  $ Onderdeel_22 :  $  opvolgende aanvraag: een volgend verzoek als bedoeld in artikel 2, onderdeel q, van de Procedurerichtlijn;  $ Onderdeel_23 :  $  overdrachtsbesluit: het besluit, bedoeld in artikel 26 van de Dublinverordening;  $ Onderdeel_24 :  $  persoonsgegevens en verwerking van persoonsgegevens: hetgeen daaronder wordt verstaan in artikel 4, aanhef en onder 1 en 2, van de Algemene verordening gegevensbescherming;  $ Onderdeel_25 :  $  Procedurerichtlijn: Richtlijn 2013/32/EU van het Europees Parlement en de Raad van 26 juni 2013 betreffende gemeenschappelijke procedures voor de toekenning en intrekking van internationale bescherming (PbEU 2013, L 180);  $ Onderdeel_26 :  $  referent: degene die overeenkomstig  een verklaring heeft afgelegd of als zodanig is aangewezen;artikel 2a referent: degene die overeenkomstig  een verklaring heeft afgelegd of als zodanig is aangewezen;  $ Onderdeel_27 :  $  richtlijn tijdelijke bescherming:  van de Raad van 20 juli 2001 betreffende minimumnormen voor het verlenen van tijdelijke bescherming in geval van massale toestroom van ontheemden en maatregelen ter bevordering van een evenwicht tussen de inspanning van de lidstaten voor de opvang en het dragen van de consequentie van de opvang van deze personen (PbEG L 212);richtlijn nr. 2001/55/EG  $ Onderdeel_28 :  $  Schengengrenscode: Verordening (EU) 2016/399 van het Europees Parlement en de Raad van 9 maart 2016 betreffende een Uniecode voor de overschrijding van de grenzen door personen (Schengengrenscode) (PbEU, L77);  $ Onderdeel_29 :  $  terugkeerbesluit: het terugkeerbesluit, bedoeld in artikel 3, punt 4, van de Terugkeerrichtlijn;  $ Onderdeel_30 :  $  Terugkeerrichtlijn: Richtlijn 2008/115/EG van het Europees Parlement en de Raad van 16 december 2008 over gemeenschappelijke normen en procedures in de lidstaten voor de terugkeer van onderdanen van derde landen die illegaal op hun grondgebied verblijven (PbEU 2008, L 348);  $ Onderdeel_31 :  $  tijdelijke bescherming: rechtmatig verblijf in de zin van , van de vreemdeling wiens uitzetting in verband met een aanvraag als bedoeld in  op grond van de richtlijn tijdelijke bescherming achterwege blijft;artikel 8, onder f of h tijdelijke bescherming: rechtmatig verblijf in de zin van , van de vreemdeling wiens uitzetting in verband met een aanvraag als bedoeld in  op grond van de richtlijn tijdelijke bescherming achterwege blijft;  $ Onderdeel_32 :  $  verblijf op reguliere gronden: het verblijf van een vreemdeling in Nederland op grond van deze wet anders dan op de gronden bedoeld in de  en ;artikelen 29 verblijf op reguliere gronden: het verblijf van een vreemdeling in Nederland op grond van deze wet anders dan op de gronden bedoeld in de  en ;  $ Onderdeel_33 :  $  verdragsvluchteling: de vreemdeling die vluchteling is in de zin van het Vluchtelingenverdrag en op wie de bepalingen ervan van toepassing zijn;  $ Onderdeel_34 :  $  Vluchtelingenverdrag: het Verdrag van Genve van 1951 betreffende de status van vluchtelingen (Trb. 1954, 88) en het bijbehorende Protocol van New York van 1967 (Trb. 1967, 76);  $ Onderdeel_35 :  $  vreemdeling: ieder die de Nederlandse nationaliteit niet bezit en niet op grond van een wettelijke bepaling als Nederlander moet worden behandeld;",1.0:c:BWBR0011823&artikel=1&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,28-07-2018
1,/Hoofdstuk1/Afdeling1/Artikel1a,"In deze wet en de daarop berustende bepalingen wordt verstaan onder:  $ Onderdeela :  $  annulering van een visum: intrekking van een visum met terugwerkende kracht tot en met het tijdstip van de verlening;  $ Onderdeelb :  $  machtiging tot voorlopig verblijf: visum voor de toegang tot Nederland voor verblijf van meer dan 90 dagen;  $ Onderdeelc :  $  terugkeervisum: visum voor de toegang tot Nederland van een vreemdeling die Nederland tijdelijk zal verlaten;  $ Onderdeeld :  $  visum: elk der visa voor toegang tot Nederland met het oog op verblijf van niet langer dan 90 dagen, afgegeven door of vanwege een bevoegde autoriteit als bedoeld in een bindend besluit van de Raad van de Europese Unie, van het Europees Parlement en de Raad gezamenlijk of van de Commissie van de Europese Gemeenschappen, alsmede de onder b en c bedoelde visa.",1.0:c:BWBR0011823&artikel=1a&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1a&z=2019-02-27&g=2019-02-27,01-11-2014
2,/Hoofdstuk1/Afdeling1/Artikel1b,,1.0:c:BWBR0011823&artikel=1b&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1b&z=2019-02-27&g=2019-02-27,['01-06-2013']
3,/Hoofdstuk1/Afdeling2/Artikel2," $ Lid1 :  $  Er is een Adviescommissie voor vreemdelingenzaken.  $ Lid2 :  $  De commissie bestaat uit ten minste zeven leden. Ambtenaren die werkzaam zijn bij een ministerie of een daaronder ressorterende instelling, dienst of bedrijf, dan wel anderszins werkzaamheden verrichten in ondergeschiktheid aan Onze Ministers, worden niet tot lid benoemd.  $ Lid3 :  $  Als voorzitter wordt bij voorkeur een rechterlijk ambtenaar met rechtspraak belast benoemd.  $ Lid4 :  $  De commissie heeft tot taak Onze Minister te adviseren over het vreemdelingenrecht en het beleid ter zake, waaronder begrepen wijzigingen van deze wet.  $ Lid5 :  $  Bij algemene maatregel van bestuur worden regels gesteld over de inrichting en de werkwijze van de commissie.  $ Lid6 :  $  De commissie is bevoegd bij een ieder schriftelijk of mondeling de inlichtingen in te winnen welke zij voor de vervulling van haar taak nodig acht.",1.0:c:BWBR0011823&artikel=2&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=2&artikel=2&z=2019-02-27&g=2019-02-27,26-03-2008
4,/Hoofdstuk1/Afdeling3/Paragraaf1/Artikel2a," $ Lid1 :  $   $ Onderdeela :  $  een Nederlander, die in Nederland verblijft of met die vreemdeling in Nederland gaat verblijven;  $ Onderdeelb :  $  een vreemdeling, die rechtmatig in Nederland verblijft op grond van , of die voor verblijf langer dan 90 dagen in Nederland mag verblijven en met die vreemdeling in Nederland gaat verblijven;artikel 8, onder a tot en met e of l een vreemdeling, die rechtmatig in Nederland verblijft op grond van , of die voor verblijf langer dan 90 dagen in Nederland mag verblijven en met die vreemdeling in Nederland gaat verblijven;  $ Onderdeelc :  $  een onderneming of rechtspersoon, dan wel een vestiging daarvan, die is ingeschreven in het handelsregister, bedoeld in ,artikel 2 van de Handelsregisterwet 2007  $ Lid2 :  $  Bij of krachtens algemene maatregel van bestuur:  $ Onderdeela :  $  worden nadere regels gesteld omtrent de natuurlijke personen en organisaties, die als referent kunnen optreden;  $ Onderdeelb :  $  wordt ten aanzien van referenten voorzien in zorgplichten jegens de vreemdeling;  $ Onderdeelc :  $  kunnen regels worden gesteld omtrent de aanwijzing als referent.  $ Lid3 :  $  Onze Minister stelt het model van de verklaring, bedoeld in het eerste lid, vast.",1.0:c:BWBR0011823&artikel=2a&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=3&paragraaf=1&artikel=2a&z=2019-02-27&g=2019-02-27,01-11-2014
5,/Hoofdstuk1/Afdeling3/Paragraaf1/Artikel2b," $ Lid1 :  $  Het referentschap eindigt in ieder geval, indien:  $ Onderdeela :  $  ten behoeve van het verblijf van de vreemdeling in Nederland een ander als referent optreedt;  $ Onderdeelb :  $  de verblijfsvergunning van de vreemdeling is gewijzigd;  $ Onderdeelc :  $  de vreemdeling in het bezit is gesteld van een verblijfsvergunning voor onbepaalde tijd als bedoeld in ;artikel 20 de vreemdeling in het bezit is gesteld van een verblijfsvergunning voor onbepaalde tijd als bedoeld in ;  $ Onderdeeld :  $  de vreemdeling Nederlander wordt of krachtens enige wet als Nederlander moet worden behandeld;  $ Onderdeele :  $  de referent aan Onze Minister overeenkomstig door Onze Minister gestelde regels naar waarheid mededeling heeft gedaan van de beindiging van diens aan het referentschap ten grondslag liggende relatie tot de vreemdeling, dan wel van het definitieve vertrek van de vreemdeling uit Nederland;  $ Onderdeelf :  $  de vreemdeling is overleden.  $ Lid2 :  $  Onze Minister stelt de gewezen referent in kennis van de beindiging van diens referentschap.  $ Lid3 :  $  Bij of krachtens algemene maatregel van bestuur worden nadere regels gesteld omtrent de beindiging van het referentschap.",1.0:c:BWBR0011823&artikel=2b&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=3&paragraaf=1&artikel=2b&z=2019-02-27&g=2019-02-27,01-06-2013
6,/Hoofdstuk1/Afdeling3/Paragraaf2/Artikel2c," $ Lid1 :  $  Onze Minister is bevoegd:  $ Onderdeela :  $  de aanvraag tot erkenning als referent in te willigen, af te wijzen, dan wel niet in behandeling te nemen, en  $ Onderdeelb :  $  de erkenning als referent te schorsen, in te trekken dan wel te wijzigen.  $ Lid2 :  $  De erkenning als referent houdt verband met het doel waarvoor de vreemdeling in Nederland wil verblijven.  $ Lid3 :  $  De erkenning als referent geldt voor onbepaalde tijd.  $ Lid4 :  $  De beschikking op een aanvraag omtrent de erkenning als referent wordt gegeven binnen drie maanden, welke termijn kan worden verlengd voor ten hoogste zes maanden, indien naar het oordeel van Onze Minister voor de beoordeling van de aanvraag advies van of onderzoek door derden of het openbaar ministerie, dan wel een verklaring omtrent het gedrag, afgegeven volgens de , nodig is.Wet justitile en strafvorderlijke gegevens  $ Lid5 :  $  De aanvrager is in door Onze Minister te bepalen gevallen en volgens door Onze Minister te geven regels leges verschuldigd terzake van de afdoening van een aanvraag omtrent de erkenning als referent.  is niet van toepassing.Artikel 4:5, vierde lid, van de Algemene wet bestuursrecht  $ Lid6 :  $  Onze Minister houdt een openbaar register van erkende referenten.",1.0:c:BWBR0011823&artikel=2c&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=3&paragraaf=2&artikel=2c&z=2019-02-27&g=2019-02-27,01-06-2013
7,/Hoofdstuk1/Afdeling3/Paragraaf2/Artikel2d," $ Lid1 :  $  Gegevens en bescheiden die van belang zijn voor de aanvraag omtrent de erkenning als referent, worden niet verkregen van de aanvrager, voor zover Onze Minister die gegevens of bescheiden kan verkrijgen uit bij regeling van Onze Minister aan te wijzen administraties, tenzij hierdoor een goede uitvoering van de wet wordt belet.  $ Lid2 :  $  Overeenkomstig bij regeling van Onze Minister gestelde regels verstrekt de aanvrager Onze Minister op diens verzoek en al dan niet in persoon alsnog de gegevens en bescheiden, die van belang zijn voor de beoordeling van de aanvraag.  $ Lid3 :  $  Bij regeling van Onze Minister wordt bepaald voor welke gegevens en bescheiden het eerste lid van toepassing is en kunnen administraties of delen daarvan worden aangewezen, waarvoor het eerste lid tijdelijk niet van toepassing is.",1.0:c:BWBR0011823&artikel=2d&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=3&paragraaf=2&artikel=2d&z=2019-02-27&g=2019-02-27,01-06-2013
8,/Hoofdstuk1/Afdeling3/Paragraaf2/Artikel2e," $ Lid1 :  $  Onze Minister kan de aanvraag tot erkenning als referent of tot wijziging van de erkenning als referent afwijzen, indien:  $ Onderdeela :  $  de aanvrager, voor zover vereist op grond van de , niet is ingeschreven in het handelsregister, bedoeld in ;Handelsregisterwet 2007  $ Onderdeelb :  $  de continuteit en solvabiliteit van de onderneming, rechtspersoon of organisatie onvoldoende is gewaarborgd;  $ Onderdeelc :  $  de betrouwbaarheid van de aanvrager of van de direct of indirect bij die onderneming, rechtspersoon of organisatie betrokken natuurlijke of rechtspersonen of ondernemingen onvoldoende vast staat;  $ Onderdeeld :  $  de erkenning als referent van de aanvrager of van de direct of indirect bij die onderneming, rechtspersoon of organisatie betrokken rechtspersonen of ondernemingen binnen een periode van vijf jaar direct voorafgaand aan de aanvraag is ingetrokken;  $ Onderdeele :  $  de aanvrager niet voldoet aan de vereisten die verband houden met het doel waarvoor de vreemdeling in Nederland verblijft of wil verblijven, waaronder in ieder geval kan worden verstaan de aansluiting bij en naleving van een gedragscode.  $ Lid2 :  $  Natuurlijke personen worden niet als referent erkend.  $ Lid3 :  $  Overeenkomstig bij regeling van Onze Minister gestelde regels, legt de aanvrager desgevraagd een verklaring omtrent het gedrag over, afgegeven volgens de .Wet justitile en strafvorderlijke gegevens",1.0:c:BWBR0011823&artikel=2e&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=3&paragraaf=2&artikel=2e&z=2019-02-27&g=2019-02-27,01-06-2013
9,/Hoofdstuk1/Afdeling3/Paragraaf2/Artikel2f," $ Lid1 :  $  Onze Minister kan de erkenning als referent schorsen op grond van ernstige vermoedens dat er grond bestaat om toepassing te geven aan .artikel 2g Onze Minister kan de erkenning als referent schorsen op grond van ernstige vermoedens dat er grond bestaat om toepassing te geven aan .  $ Lid2 :  $  De schorsing van de erkenning als referent eindigt op de dag na de dag waarop de beschikking omtrent de intrekking is bekendgemaakt of de dag waarop sedert de schorsing drie maanden zijn verstreken.  $ Lid3 :  $  De termijn, bedoeld in het tweede lid, kan worden verlengd, indien naar het oordeel van Onze Minister advies van of onderzoek door derden of het openbaar ministerie nodig is.  $ Lid4 :  $  Schorsing van de erkenning heeft tot gevolg dat de referent voor de duur van de schorsing niet als erkend referent wordt aangemerkt.",1.0:c:BWBR0011823&artikel=2f&g=2019-02-27,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=3&paragraaf=2&artikel=2f&z=2019-02-27&g=2019-02-27,01-06-2013
