,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3
0,Hoofdstuk1,Afdeling1,Artikel1.1,,,,In dit besluit en de daarop berustende bepalingen wordt verstaan onder:,23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
1,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_1,,,"Beneluxgebied: het gezamenlijke grondgebied in Europa van het Koninkrijk Belgi, van het Groothertogdom Luxemburg en van het Koninkrijk der Nederlanden;",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
2,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_2,,,"Benelux-onderdanen: de onderdanen van de staten die partij zijn bij het op 3 februari 1958 te 's-Gravenhage tot stand gekomen Verdrag tot instelling van de Benelux Economische Unie (Trb. 1958, 18);",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
3,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_3,,,"continentaal plat: hetgeen daaronder wordt verstaan in ;artikel 1, onderdeel c, van de Mijnbouwwet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
4,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_4,,,cruiseschip: hetgeen daaronder in de Schengengrenscode wordt verstaan;,23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
5,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_5,,,de Wet: de ;Vreemdelingenwet 2000,23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
6,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_6,,,"Europese blauwe kaart: de verblijfsvergunning regulier voor bepaalde tijd, afgegeven ter uitvoering van artikel 7 van , dan wel een door een andere staat die partij is bij het Verdrag betreffende de werking van de Europese Unie afgegeven verblijfsvergunning ter uitvoering van dat artikel;richtlijn 2009/50/EG",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
7,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_7,,,"EU-verblijfsvergunning voor langdurig ingezetenen: de EU-verblijfsvergunning voor langdurig ingezetenen, bedoeld in ;artikel 45a van de Wet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
8,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_8,,,"gezinsvorming: gezinshereniging van de echtgenoot, geregistreerde partner of niet-geregistreerde partner, voor zover de gezinsband tot stand is gekomen op een tijdstip waarop de hoofdpersoon in Nederland hoofdverblijf had;",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
9,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_9,,,"luchtvaartuig: hetgeen daaronder wordt verstaan in ;artikel 1, eerste lid, onder b, van de Luchtvaartwet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
10,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_10,,,"mijnbouwinstallatie: hetgeen daaronder wordt verstaan in ;artikel 1, onderdeel o, van de Mijnbouwwet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
11,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_11,,,"richtlijn langdurig ingezetenen:  van de Raad van de Europese Unie van 25 november 2003 betreffende de status van langdurig ingezeten onderdanen van derde landen (PbEU 2004, L16), zoals gewijzigd door /EU van het Europees Parlement en de Raad teneinde haar werkingssfeer uit te breiden tot personen die internationale bescherming genieten (PbEU 2011, L 132);richtlijn nr. 2003/109/EG",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
12,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_12,,,:  van de Raad van 25 mei 2009 betreffende de voorwaarden voor toegang en verblijf van onderdanen van derde landen met het oog op een hooggekwalificeerde baan (PbEU L 155);richtlijn 2009/50/EG,23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
13,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_13,,,"/EU: /EU van het Europees Parlement en de Raad van 15 mei 2014 betreffende de voorwaarden voor toegang en verblijf van onderdanen van derde landen in het kader van een overplaatsing binnen een onderneming (PbEU 2014, L 157);richtlijn 2014/66",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
14,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_14,,,"richtlijn (EU) 2016/801 van het Europees Parlement en de Raad van 11 mei 2016 betreffende de voorwaarden voor toegang en verblijf van derdelanders met het oog op onderzoek, studie, stages, vrijwilligerswerk, scholierenuitwisseling, educatieve projecten of au-pairactiviteiten (herschikking) (PbEU 2016, L 132);richtlijn (EU) 2016/801:",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
15,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_15,,,"Schengeninformatiesysteem: het in artikel 1, eerste lid, van de Verordening (EG) nr. 1987/2006 van het Europees parlement en de Raad van 20 december 2006 betreffende de instelling, de werking en het gebruik van het Schengensysteem van de tweede generatie (SIS II) bedoelde informatiesysteem (PbEU 2006, L 381);",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
16,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_16,,,"Schengen Uitvoeringsovereenkomst: de op 19 juni 1990 te Schengen tot stand gekomen Overeenkomst ter uitvoering van het tussen de regeringen van de staten van de Benelux Economische Unie, de bondsrepubliek Duitsland en de Franse republiek op 14 juni 1985 te Schengen gesloten akkoord betreffende de geleidelijke afschaffing van de controles aan de gemeenschappelijke grenzen (Trb. 1990, 145), alsmede de daarop gebaseerde Protocollen;",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
17,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_17,,,Schengengebied: het grondgebied van de staten waarop de Schengengrenscode en de Schengen Uitvoeringsovereenkomst van toepassing zijn;,23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
18,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_18,,,"schip: hetgeen daaronder wordt verstaan in ;artikel 1, eerste lid, onder b, van de Scheepvaartverkeerswet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
19,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_19,,,"staatloze: de persoon die voor de toepassing van het op 28 september 1954 te New York gesloten verdrag betreffende de status van staatlozen (Trb. 1955, 42 en 1957, 22) als staatloze geldt;",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
20,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_20,,,"tewerkstellingsvergunning: de vergunning, bedoeld in ;artikel 1, onder e, van de Wet arbeid vreemdelingen",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
21,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_21,,,"verblijfsvergunning asiel voor bepaalde tijd: de verblijfsvergunning, bedoeld in ;artikel 28 van de Wet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
22,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_22,,,"verblijfsvergunning asiel voor onbepaalde tijd: de verblijfsvergunning, bedoeld in ;artikel 33 van de Wet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
23,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_23,,,"verblijfsvergunning regulier voor bepaalde tijd: de verblijfsvergunning, bedoeld in ;artikel 14 van de Wet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
24,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_24,,,"verblijfsvergunning regulier voor onbepaalde tijd: de verblijfsvergunning, bedoeld in ;artikel 20 van de Wet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
25,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_25,,,"vliegtuig: hetgeen daaronder wordt verstaan in ;artikel 1, eerste lid, onder c, van de Luchtvaartwet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
26,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_26,,,"vreemdelingenadministratie: de vreemdelingenadministratie, bedoeld in .artikel 107 van de Wet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
27,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_27,,,"zeeschip: hetgeen daaronder wordt verstaan in ;artikel 1, tweede lid, onder c, van de Scheepvaartverkeerswet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01
28,Hoofdstuk1,Afdeling1,Artikel1.2,,,,In dit besluit wordt verstaan onder:,31-12-2011,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.2&z=2019-07-01&g=2019-07-01
29,Hoofdstuk1,Afdeling1,Artikel1.2,Onderdeela,,,"het visum, bedoeld in artikel 2, punt 2, onder a, van de Verordening nr. 810/2009/EG van het Europees Parlement en de Raad van 13 juli 2009 tot vaststelling van een gemeenschappelijke Visumcode (Visumcode) (PbEU, L 243);reisvisum:",31-12-2011,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.2&o=a&z=2019-07-01&g=2019-07-01
30,Hoofdstuk1,Afdeling1,Artikel1.2,Onderdeelb,,,"het visum, bedoeld in artikel 2, punt 2, onder b, van de Visumcode.doorreisvisum:",31-12-2011,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.2&o=b&z=2019-07-01&g=2019-07-01
