,artikelnr:,text:,jci1.0:,jci1.3:,versie:
0,/Hoofdstuk1/Afdeling1/Artikel1.1,"In deze regeling wordt verstaan onder:  $ Onderdeela :  $  het Besluit: het ;Vreemdelingenbesluit 2000  $ Onderdeelb :  $  EVRM : Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden;  $ Onderdeelc :  $  de BRP: de basisregistratie personen;  $ Onderdeeld :  $  vervolging: vervolging als bedoeld in het Vluchtelingenverdrag;  $ Onderdeele :  $  ernstige schade: daden als bedoeld in  en artikel 15 van richtlijn 2011/95/EU van het Europees Parlement en de Raad van 13december 2011 inzake normen voor de erkenning van onderdanen van derde landen of staatlozen als personen die internationale bescherming genieten, voor een uniforme status voor vluchtelingen of voor personen die in aanmerking komen voor subsidiaire bescherming, en voor de inhoud van de verleende bescherming (herschikking) (PbEU 2011 L337).artikel 29, eerste lid, onder b, van de Wet",1.0:c:BWBR0012002&artikel=1.1&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-10-01&g=2019-10-01,06-01-2014
1,/Hoofdstuk1/Afdeling1/Artikel1.2,"Ter uitvoering van een verdrag waarbij de grenscontrole is verlegd naar de buitengrenzen, wordt onder 'Nederland' in de  en  mede verstaan het grondgebied van andere bij dat verdrag aangesloten landen waarover de werking van dat verdrag zich uitstrekt.artikelen 4.7",1.0:c:BWBR0012002&artikel=1.2&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=1&artikel=1.2&z=2019-10-01&g=2019-10-01,01-04-2001
2,/Hoofdstuk1/Afdeling1/Artikel1.3,"Voorzover uit een wettelijk voorschrift niet anders voortvloeit, worden de bevoegdheden genoemd in deze regeling uitgeoefend namens de Minister. Bij de uitoefening van deze bevoegdheden worden de algemene en bijzondere aanwijzingen van de Minister in acht genomen.",1.0:c:BWBR0012002&artikel=1.3&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=1&artikel=1.3&z=2019-10-01&g=2019-10-01,01-08-2007
3,/Hoofdstuk1/Afdeling2/Paragraaf1/Artikel1.4,"De referent van een vreemdeling die in Nederland verblijft of wil verblijven voor arbeid als kennismigrant of voor een overplaatsing binnen een onderneming, draagt er zorg voor dat de vreemdeling bij de werving en selectie op de hoogte wordt gesteld van de relevante regelgeving.",1.0:c:BWBR0012002&artikel=1.4&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=2&paragraaf=1&artikel=1.4&z=2019-10-01&g=2019-10-01,29-11-2016
4,/Hoofdstuk1/Afdeling2/Paragraaf1/Artikel1.5,"De referent van een vreemdeling die in het kader van uitwisseling als au pair in Nederland verblijft of wil verblijven draagt er zorg voor dat:  $ Onderdeela :  $  op zorgvuldige wijze wordt bemiddeld tussen de vreemdeling en het gastgezin;  $ Onderdeelb :  $  het gastgezin op zorgvuldige wijze wordt geselecteerd;  $ Onderdeelc :  $  indien hij op de hoogte is of vermoedens heeft van misbruik van een vreemdeling door een gastgezin plaatsing bij dit gastgezin achterwege blijft;  $ Onderdeeld :  $  het gastgezin en de vreemdeling bij de werving en selectie op de hoogte worden gesteld van de relevante regelgeving;  $ Onderdeele :  $  hij zich ervan vergewist dat zowel het gastgezin als de vreemdeling zich aan de verplichtingen houden;  $ Onderdeelf :  $  hij zich vergewist van het welzijn en welbevinden van de vreemdeling gedurende het verblijf van de vreemdeling in het gastgezin;  $ Onderdeelg :  $  de vreemdeling zich te allen tijde kan wenden tot de referent met vragen en klachten;  $ Onderdeelh :  $  hij de vreemdeling op de hoogte stelt van het bestaan en de werking van het Meldpunt Misbruik au pairs, en  $ Onderdeeli :  $  hij bij kennis of een redelijk vermoeden van misbruik of misstanden en bij meldingen hiervan passende maatregelen treft.",1.0:c:BWBR0012002&artikel=1.5&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=2&paragraaf=1&artikel=1.5&z=2019-10-01&g=2019-10-01,01-06-2013
5,/Hoofdstuk1/Afdeling2/Paragraaf1/Artikel1.6,"De referent van een vreemdeling die in het kader van uitwisseling als uitwisselingsjongere, niet zijnde een au pair, in Nederland verblijft of wil verblijven draagt er zorg voor dat:  $ Onderdeela :  $  indien sprake is van verblijf in een gastgezin er op zorgvuldige wijze wordt bemiddeld tussen de vreemdeling en het gastgezin;  $ Onderdeelb :  $  de vreemdeling en, indien sprake is van verblijf in een gastgezin het gastgezin op zorgvuldige wijze wordt geselecteerd;  $ Onderdeelc :  $  indien hij op de hoogte is of vermoedens heeft van misbruik van een vreemdeling door een gastgezin plaatsing in dit gastgezin achterwege blijft;  $ Onderdeeld :  $  het gastgezin en de vreemdeling bij de werving en selectie op de hoogte worden gesteld van de relevante regelgeving;  $ Onderdeele :  $  hij zich ervan vergewist dat de vreemdeling zich aan de verplichtingen houdt;  $ Onderdeelf :  $  hij zich vergewist van het welzijn en welbevinden van de vreemdeling gedurende zijn verblijf;  $ Onderdeelg :  $  de vreemdeling zich te allen tijde kan wenden tot de referent met vragen en klachten, en  $ Onderdeelh :  $  hij bij kennis of een redelijk vermoeden van misbruik of misstanden en bij meldingen hiervan passende maatregelen treft.",1.0:c:BWBR0012002&artikel=1.6&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=2&paragraaf=1&artikel=1.6&z=2019-10-01&g=2019-10-01,01-06-2013
6,/Hoofdstuk1/Afdeling2/Paragraaf1/Artikel1.7,,1.0:c:BWBR0012002&artikel=1.7&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=2&paragraaf=1&artikel=1.7&z=2019-10-01&g=2019-10-01,01-01-2014
7,/Hoofdstuk1/Afdeling2/Paragraaf1/Artikel1.8,De referent van een vreemdeling die in Nederland wil verblijven voor studie in het hoger onderwijs draagt er zorg voor dat alleen studenten worden geworven die toelaatbaar tot de opleiding zijn en dat de vreemdeling bij de werving en selectie op de hoogte wordt gesteld van de relevante regelgeving.,1.0:c:BWBR0012002&artikel=1.8&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=2&paragraaf=1&artikel=1.8&z=2019-10-01&g=2019-10-01,01-06-2013
8,/Hoofdstuk1/Afdeling2/Paragraaf1/Artikel1.9," $ Lid1 :  $  Ten behoeve van het verblijf van een vreemdeling die in Nederland verblijft of wil verblijven voor studie, kan ook als referent optreden de krachtens  als referent erkende onderwijsinstelling, waaraan de vreemdeling voortgezet onderwijs volgt of wil volgen, die, voor zover op grond van de  vereist, is ingeschreven in het handelsregister, bedoeld in , en die:artikel 2c van de Wet  $ Onderdeela :  $  door de Internationale Baccalaureaat Organisatie geaccrediteerd is;  $ Onderdeelb :  $  het Internationale Baccalaureaat diplomaprogramma aanbiedt, en  $ Onderdeelc :  $  deel uitmaakt van een internationale organisatie, waarbij een uitwisseling van leerlingen over de wereld plaatsvindt en het land van plaatsing wordt bepaald door landelijke comits van deze internationale organisatie, of die zijn leerlingen in een internaat plaatst.  $ Lid2 :  $  Ten behoeve van het verblijf van een vreemdeling die in Nederland verblijft of wil verblijven voor studie, kan ook als referent optreden de krachtens  als referent erkende onderwijsinstelling, waaraan de vreemdeling middelbaar beroepsonderwijs volgt of wil volgen die, voor zover op grond van de  vereist, is ingeschreven in het handelsregister, bedoeld in , en die is aangesloten bij de Gedragscode internationale student middelbaar beroepsonderwijs niveau 4 en is opgenomen in het daarbij behorende register.artikel 2c van de Wet",1.0:c:BWBR0012002&artikel=1.9&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=2&paragraaf=1&artikel=1.9&z=2019-10-01&g=2019-10-01,24-03-2017
9,/Hoofdstuk1/Afdeling2/Paragraaf1/Artikel1.10,"Als referent van een vreemdeling die arbeid voor een religieuze of levensbeschouwelijke organisatie verricht of wil verrrichten kan slechts optreden:  $ Onderdeela :  $  een religieuze of levensbeschouwelijke organisatie met rechtspersoonlijkheid, of  $ Onderdeelb :  $  een religieuze of levensbeschouwelijke organisatie die deel uitmaakt van een organisatie die rechtspersoonlijkheid heeft.",1.0:c:BWBR0012002&artikel=1.10&g=2019-10-01,jci1.3:c:BWBR0012002&hoofdstuk=1&afdeling=2&paragraaf=1&artikel=1.10&z=2019-10-01&g=2019-10-01,01-06-2013
