,artikelnr:,text:,jci1.0:,jci1.3:,versie:
0,/Hoofdstuk1/Artikel1.1,"een baten-lastenagentschap of een verplichtingen-kasagentschap; $$ het dienstonderdeel van het Ministerie van Financiën dat belast is met de
                                    uitoefening van de auditfunctie bij het Rijk; $$ een dienstonderdeel van een ministerie, dat op grond van , als baten-lastenagentschap is aangewezen;artikel 2.20, eerste
                                    lid $$ een dienstonderdeel van een ministerie, dat op grond van , als baten-lastenagentschap is aangewezen; $$ het financieel-administratieve stelsel van rekeningen waarin als uitgaven en
                                    ontvangsten in een jaar worden opgenomen de geldswaarden van het verbruik van
                                    goederen en diensten (lasten) in dat jaar, respectievelijk de geldswaarden van de
                                    rechten op ontvangsten (baten), die in dat jaar ontstaan; $$ het inzetten van personeel en materieel ter ondersteuning van het beleid of de taak; $$ het sturen en beheersen van het begrotingsproces, waaronder de begrotingsuitvoering
                                    en de zorg voor het ramen van de ontvangsten en de uitgaven; $$ een geoormerkte, meerjarige budgettaire voorziening die wordt aangehouden op een
                                    afzonderlijke rekening-courant bij het Ministerie van Financiën; $$ het baten-lastenstelsel, het kasstelsel of het verplichtingen-kasstelsel; $$ het boeken van de geldswaarden van handelingen die betrekking hebben op het
                                    financieel beheer op een rekening in de financiële administratie, waarvan het saldo
                                    wordt opgenomen in een begrotingsartikel in een begrotingsstaat; $$ het boeken van de geldswaarden van handelingen die betrekking hebben op het
                                    financieel beheer op een rekening in de financiële administratie, waarvan het saldo
                                    niet wordt opgenomen in een begrotingsartikel in een begrotingsstaat; $$ een onderdeel van de collectieve sector dat budgettair afzonderlijk wordt
                                    onderscheiden; $$ de Staten-Generaal, de Raad van State, de Algemene Rekenkamer, de Nationale
                                    ombudsman, de Kanselarij der Nederlandse Orden, het Kabinet van de Koning, het
                                    Kabinet van de Gouverneur van Aruba, het Kabinet van de Gouverneur van Curaçao, het
                                    Kabinet van de Gouverneur van Sint Maarten, de Kiesraad en de Commissie van toezicht
                                    betreffende de inlichtingen- en veiligheidsdiensten; $$ een organisatieonderdeel van een ministerie of een college; $$ het sturen en beheersen van de financiële aspecten van het beleid en de
                                    bedrijfsvoering, waaronder de zorg voor: $$ het aangaan van financiële verplichtingen; $$ het heffen van belastingen en het opleggen van andere heffingen; $$ het in rekening brengen van kosten; $$ het beheer van de financiële bezittingen en schulden; $$ het kasbeheer; $$ de in een begroting opgenomen informatie over de financiële aspecten van het
                                    voorgenomen beleid en de voorgenomen bedrijfsvoering; $$ de in een jaarverslag opgenomen informatie over de financiële aspecten van het
                                    gevoerde beleid en de gevoerde bedrijfsvoering; $$ de voorwaardelijke of onvoorwaardelijke verplichting tot het in de toekomst doen van
                                    een kasbetaling aan een derde of aan een ander dienstonderdeel; $$ een niet-geoormerkte, meerjarige budgettaire reserve die wordt aangehouden op een
                                    rekening-courant bij het Ministerie van Financiën; $$ het financieel-administratieve stelsel van rekeningen waarin als uitgaven en
                                    ontvangsten in een jaar worden opgenomen de kasuitgaven en de kasontvangsten in dat
                                    jaar; $$ de zorg voor het onderhoud en de instandhouding van roerende en onroerende zaken
                                    vanaf het moment van inbeheer- of ingebruikneming tot aan het moment van afstoting; $$ de materiële aspecten van het beleid en de bedrijfsvoering, toegespitst op: $$ het verwerven van materieel; $$ het materieelbeheer; $$ het afstoten van materieel; $$ de in een jaarverslag opgenomen informatie over de niet-financiële aspecten van het
                                    gevoerde beleid en de gevoerde bedrijfsvoering; $$ een rechtspersoon die een bij of krachtens een wet geregelde taak uitvoert en die
                                    daartoe geheel of gedeeltelijk wordt bekostigd uit de opbrengst van een bij of
                                    krachtens een wet ingestelde heffing, met uitzondering van de gemeenten, provincies,
                                    waterschappen, de openbare lichamen Bonaire, Sint Eustatius en Saba, openbare
                                    lichamen voor beroep en bedrijf en openbare lichamen en gemeenschappelijke organen
                                    ingesteld krachtens de  uitgezonderd de openbare lichamen en gemeenschappelijke organen waaraan
                                    vanwege het Rijk wordt deelgenomen;Wet
                                    gemeenschappelijke regelingen $$ het overzicht van de saldi van de financiële activa en passiva zoals deze op een
                                    bepaalde datum uit de financiële administratie blijken; $$ de departementale kassen en de centrale kassen van het Rijk tezamen; $$ het aanhouden van liquide middelen op een bankrekening van de schatkist van het
                                    Rijk; $$ het verschil op het niveau van een begrotingsartikel dat na afloop van een
                                    begrotingsjaar wordt vastgesteld tussen de realisatie van de uitgaven,
                                    onderscheidenlijk de ontvangsten, en de raming van de uitgaven, onderscheidenlijk de
                                    ontvangsten, in de wet tot vaststelling van de begrotingsstaten, bedoeld in ,
                                    en de wijzigingen die daarin zijn aangebracht door middel van de wetten tot
                                    wijziging van de begrotingsstaten, bedoeld in ;artikel 2.23 $$ het verschil op het niveau van een begrotingsartikel dat na afloop van een
                                    begrotingsjaar wordt vastgesteld tussen de realisatie van de uitgaven,
                                    onderscheidenlijk de ontvangsten, en de raming van de uitgaven, onderscheidenlijk de
                                    ontvangsten, in de wet tot vaststelling van de begrotingsstaten, bedoeld in ,
                                    en de wijzigingen die daarin zijn aangebracht door middel van de wetten tot
                                    wijziging van de begrotingsstaten, bedoeld in ; $$ het financieel-administratieve stelsel van rekeningen waarin als uitgaven en
                                    ontvangsten in een jaar worden opgenomen de geldswaarden van de economische
                                    transacties die in dat jaar ontstaan; $$ een dienstonderdeel van een ministerie, dat op grond van , als verplichtingen-kasagentschap is aangewezen;artikel 2.20, eerste
                                    lid $$ een dienstonderdeel van een ministerie, dat op grond van , als verplichtingen-kasagentschap is aangewezen; $$ de combinatie van het verplichtingenstelsel en het kasstelsel waarin de kasuitgaven
                                    en de financiële verplichtingen geïntegreerd worden geadministreerd; $$ het financieel-administratieve stelsel van rekeningen waarin als uitgaven en
                                    ontvangsten in een jaar worden opgenomen de geldswaarden van de in dat jaar
                                    aangegane of ontstane financiële verplichtingen die tot kasuitgaven leiden of kunnen
                                    leiden.",1.0:c:BWBR0039429&artikel=1.1&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2019-01-01&g=2019-01-01,01-01-2018
1,/Hoofdstuk2/Paragraaf1/Artikel2.1,"Tot de rijksbegroting behoren de departementale en de niet-departementale
                                    begrotingen van de ministeries en de colleges. $$ Onze Ministers, ieder met betrekking tot het beleid waarvoor hij verantwoordelijk
                                    is, stellen voor de aanvang van een begrotingsjaar een begroting op. $$ Voor elk ministerie is er één departementale begroting en kunnen er één of meer
                                    niet-departementale begrotingen zijn. $$ Voor elk college is er een niet-departementale begroting. $$ Als niet-departementale begroting worden voorts uitsluitend aangemerkt: $$ de begroting van de Koning, bedoeld in , en de begroting van Nationale Schuld, bedoeld in ;artikel
                                            2.9 $$ de begroting van de Koning, bedoeld in , en de begroting van Nationale Schuld, bedoeld in ; $$ de begroting van koninkrijksrelaties, tenzij de uitgaven en ontvangsten die
                                            samenhangen met koninkrijksrelaties worden opgenomen in de betrokken
                                            departementale begroting; $$ de begrotingen van de begrotingsfondsen, bedoeld in ;artikel 2.11,
                                            eerste lid $$ de begrotingen van de begrotingsfondsen, bedoeld in ; $$ de programmabegrotingen, bedoeld in .artikel 2.12,
                                            eerste lid $$ de programmabegrotingen, bedoeld in . $$ Een departementale begroting bevat de weergave van het beleid en de bedrijfsvoering
                                    van het ministerie, met uitzondering van de beleidsaangelegenheden die worden
                                    opgenomen in een begroting als bedoeld in het vijfde lid. $$ De niet-departementale begroting van een college bevat de weergave van de taken en
                                    van de bedrijfsvoering van het college. $$ Een programmabegroting, onderscheidenlijk een begroting van een begrotingsfonds,
                                    bevat de weergave van het afgezonderde beheer, bedoeld in , respectievelijk . Een programmabegroting, onderscheidenlijk een begroting van
                                    een begrotingsfonds, bevat geen weergave van de bedrijfsvoering die met dat
                                    afgezonderde beheer samenhangt.artikel 2.12,
                                        eerste lid $$ Een programmabegroting, onderscheidenlijk een begroting van een begrotingsfonds,
                                    bevat de weergave van het afgezonderde beheer, bedoeld in , respectievelijk . Een programmabegroting, onderscheidenlijk een begroting van
                                    een begrotingsfonds, bevat geen weergave van de bedrijfsvoering die met dat
                                    afgezonderde beheer samenhangt.",1.0:c:BWBR0039429&artikel=2.1&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=2&paragraaf=1&artikel=2.1&z=2019-01-01&g=2019-01-01,01-01-2018
2,/Hoofdstuk2/Paragraaf2/Artikel2.2,Een begroting bestaat uit een begrotingsstaat en een daarbij behorende toelichting.,1.0:c:BWBR0039429&artikel=2.2&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=2&paragraaf=2&artikel=2.2&z=2019-01-01&g=2019-01-01,01-01-2018
3,/Hoofdstuk2/Paragraaf2/Artikel2.3,"Een begrotingsstaat wordt afzonderlijk bij wet vastgesteld. $$ In afwijking van het eerste lid kunnen twee of meer begrotingsstaten waarvoor Onze
                                    Minister die het aangaat verantwoordelijk is, in één wet worden vastgesteld. $$ Autorisatie van een begrotingsstaat vindt plaats op het niveau van een
                                    begrotingsartikel. $$ Het geautoriseerde bedrag voor de uitgaven geldt als maximum. $$ Structurele wijzigingen van de begrotingsstaat die op voorstel van een of meer leden
                                    van de Tweede Kamer der Staten-Generaal zijn aangebracht, worden, indien dit met dit
                                    voorstel beoogd is, tevens in de begrotingsstaten van de daaropvolgende jaren
                                    opgenomen, tenzij een zwaarwegende reden zich hiertegen verzet. In dat geval
                                    informeert Onze betrokken Minister de Tweede Kamer der Staten-Generaal hierover.",1.0:c:BWBR0039429&artikel=2.3&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=2&paragraaf=2&artikel=2.3&z=2019-01-01&g=2019-01-01,01-01-2018
4,/Hoofdstuk2/Paragraaf2/Artikel2.4,Het begrotingsjaar is het kalenderjaar.,1.0:c:BWBR0039429&artikel=2.4&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=2&paragraaf=2&artikel=2.4&z=2019-01-01&g=2019-01-01,01-01-2018
5,/Hoofdstuk2/Paragraaf2/Artikel2.5,"De begrotingsstaat bestaat uit begrotingsartikelen en bevat per begrotingsartikel de
                                volgende gegevens: $$ het artikelnummer; $$ de artikelomschrijving; $$ het geraamde bedrag voor financiële verplichtingen; $$ het geraamde bedrag voor kasuitgaven; $$ het geraamde bedrag voor kasontvangsten.",1.0:c:BWBR0039429&artikel=2.5&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=2&paragraaf=2&artikel=2.5&z=2019-01-01&g=2019-01-01,01-01-2018
6,/Hoofdstuk2/Paragraaf2/Artikel2.6,"Een agentschap heeft een afzonderlijke financiële staat die wordt opgenomen bij de
                                    begrotingsstaat van de departementale begroting van het ministerie waaronder het
                                    agentschap ressorteert. $$ De financiële staat van een agentschap bevat, al naar gelang van toepassing, de
                                    geraamde totaalbedragen van de financiële verplichtingen, de kasuitgaven en de
                                    kasontvangsten of de lasten en de baten.",1.0:c:BWBR0039429&artikel=2.6&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=2&paragraaf=2&artikel=2.6&z=2019-01-01&g=2019-01-01,01-01-2018
7,/Hoofdstuk2/Paragraaf2/Artikel2.7,"Een begrotingsartikel met de omschrijving  kan
                                    in een begrotingsstaat worden opgenomen ten behoeve van de voorlopige verwerking van
                                    de loon- en prijsindexering, een taakstelling of een ander nog te verdelen
                                    begrotingsbedrag. $$ Het begrotingsartikel  is een
                                    administratief artikel ten laste waarvan geen uitgaven worden gedaan of ten gunste
                                    waarvan geen ontvangsten worden gerealiseerd. $$ Het bedrag voor de uitgaven dat wordt opgenomen in de begrotingsstaat bij het
                                    begrotingsartikel  kan zowel positief als
                                    negatief zijn.",1.0:c:BWBR0039429&artikel=2.7&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=2&paragraaf=2&artikel=2.7&z=2019-01-01&g=2019-01-01,01-01-2018
8,/Hoofdstuk2/Paragraaf2/Artikel2.8,,1.0:c:BWBR0039429&artikel=2.8&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=2&paragraaf=2&artikel=2.8&z=2019-01-01&g=2019-01-01,01-01-2018
9,/Hoofdstuk2/Paragraaf2/Artikel2.9,De begroting van de Koning bevat: $$ de uitkeringen aan leden van het koninklijk huis; $$ de uitgaven die functioneel met het koningschap samenhangen.,1.0:c:BWBR0039429&artikel=2.9&g=2019-01-01,jci1.3:c:BWBR0039429&hoofdstuk=2&paragraaf=2&artikel=2.9&z=2019-01-01&g=2019-01-01,01-01-2018
