,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3
0,Hoofdstuk1,Artikel1.1,Onderdeel_1,,,,een baten-lastenagentschap of een verplichtingen-kasagentschap;agentschap:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
1,Hoofdstuk1,Artikel1.1,Onderdeel_2,,,,het dienstonderdeel van het Ministerie van Financin dat belast is met de uitoefening van de auditfunctie bij het Rijk;Auditdienst Rijk:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
2,Hoofdstuk1,Artikel1.1,Onderdeel_3,,,,"een dienstonderdeel van een ministerie, dat op grond van , als baten-lastenagentschap is aangewezen;artikel 2.20, eerste lidbaten-lastenagentschap:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
3,Hoofdstuk1,Artikel1.1,Onderdeel_4,,,,"het financieel-administratieve stelsel van rekeningen waarin als uitgaven en ontvangsten in een jaar worden opgenomen de geldswaarden van het verbruik van goederen en diensten (lasten) in dat jaar, respectievelijk de geldswaarden van de rechten op ontvangsten (baten), die in dat jaar ontstaan;baten-lastenstelsel:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
4,Hoofdstuk1,Artikel1.1,Onderdeel_5,,,,het inzetten van personeel en materieel ter ondersteuning van het beleid of de taak;bedrijfsvoering:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
5,Hoofdstuk1,Artikel1.1,Onderdeel_6,,,,"het sturen en beheersen van het begrotingsproces, waaronder de begrotingsuitvoering en de zorg voor het ramen van de ontvangsten en de uitgaven;begrotingsbeheer:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
6,Hoofdstuk1,Artikel1.1,Onderdeel_7,,,,"een geoormerkte, meerjarige budgettaire voorziening die wordt aangehouden op een afzonderlijke rekening-courant bij het Ministerie van Financin;begrotingsreserve:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
7,Hoofdstuk1,Artikel1.1,Onderdeel_8,,,,"het baten-lastenstelsel, het kasstelsel of het verplichtingen-kasstelsel;begrotingsstelsel:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
8,Hoofdstuk1,Artikel1.1,Onderdeel_9,,,,"het boeken van de geldswaarden van handelingen die betrekking hebben op het financieel beheer op een rekening in de financile administratie, waarvan het saldo wordt opgenomen in een begrotingsartikel in een begrotingsstaat;boeken binnen begrotingsverband:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
9,Hoofdstuk1,Artikel1.1,Onderdeel_10,,,,"het boeken van de geldswaarden van handelingen die betrekking hebben op het financieel beheer op een rekening in de financile administratie, waarvan het saldo niet wordt opgenomen in een begrotingsartikel in een begrotingsstaat;boeken buiten begrotingsverband:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
10,Hoofdstuk1,Artikel1.1,Onderdeel_11,,,,een onderdeel van de collectieve sector dat budgettair afzonderlijk wordt onderscheiden;budgetdisciplinesector:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01
