,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3
0,Hoofdstuk1,Artikel1,,,,,In dit besluit en de daarop berustende bepalingen wordt verstaan onder:,22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=1&z=2020-04-22&g=2020-04-22
1,Hoofdstuk1,Artikel1,Onderdeel_1,,,,"verordening (EU) nr. 1407/2013 van de Commissie van 18december 2013 betreffende de toepassing van de artikelen 107 en 108 van het Verdrag betreffende de werking van de Europese Unie op de-minimissteun (PbEU 2013, L 352);algemene de-minimisverordening:",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=1&z=2020-04-22&g=2020-04-22
2,Hoofdstuk1,Artikel1,Onderdeel_2,,,,"verklaring als bedoeld in ;artikel 2, eerste lidverklaring:",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=1&z=2020-04-22&g=2020-04-22
3,Hoofdstuk1,Artikel1,Onderdeel_3,,,,;Participatiewetwet:,22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=1&z=2020-04-22&g=2020-04-22
4,Hoofdstuk1,Artikel1,Onderdeel_4,,,,"de rechthebbende, bedoeld in  die achttien jaar of ouder is maar de pensioengerechtigde leeftijd nog niet heeft bereikt en die voor de voorziening in het bestaan is aangewezen op arbeid in eigen bedrijf of zelfstandig beroep hier te lande en die;artikel 11, van de wetzelfstandige:",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=1&z=2020-04-22&g=2020-04-22
5,Hoofdstuk1,Artikel1,Onderdeel_4,Onderdeela,,,voldoet aan de wettelijke vereisten voor de uitoefening daarvan;,22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=1&o=a&z=2020-04-22&g=2020-04-22
6,Hoofdstuk1,Artikel1,Onderdeel_4,Onderdeelb,,,ten minste 1.225 uur per jaar besteedt aan werkzaamheden voor het bedrijf of zelfstandig beroep; en,22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=1&o=b&z=2020-04-22&g=2020-04-22
7,Hoofdstuk1,Artikel1,Onderdeel_4,Onderdeelc,,,alleen of samen met degene met wie hij het bedrijf of zelfstandig beroep uitoefent de volledige zeggenschap in dat bedrijf of zelfstandig beroep heeft en de financile risicos daarvan draagt.,22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=1&o=c&z=2020-04-22&g=2020-04-22
8,Hoofdstuk1,Artikel2,Lid1,,,,"Algemene bijstand of bijstand ter voorziening in de behoefte aan bedrijfskapitaal op grond van dit besluit kan worden verleend aan de zelfstandige die op 17maart 2020 stond ingeschreven in het handelsregister, bedoeld in  en schriftelijk verklaart dat diens bedrijf of zelfstandig beroep financieel is geraakt als gevolg van de crisis in verband met COVID-19.artikel 2, van de Handelsregisterwet 2007",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=2&lid=1&z=2020-04-22&g=2020-04-22
9,Hoofdstuk1,Artikel2,Lid2,,,,Algemene bijstand op grond van dit besluit wordt niet verleend aan de zelfstandige die algemene bijstand ontvangt op grond van het .Besluit bijstandverlening zelfstandigen 2004,22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=2&lid=2&z=2020-04-22&g=2020-04-22
10,Hoofdstuk1,Artikel3,Lid1,,,,In afwijking van  wordt de aanvraag ingediend bij het college.artikel 41 van de wet,22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=3&lid=1&z=2020-04-22&g=2020-04-22
11,Hoofdstuk1,Artikel3,Lid2,,,,"De aanvraag wordt ingediend voor 1juni 2020 en wordt voor de toepassing van  geacht te zijn ingediend op 1maart 2020.artikel 44, eerste lid, derde zinsdeel, van de wet",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=3&lid=2&z=2020-04-22&g=2020-04-22
12,Hoofdstuk1,Artikel3,Lid3,,,,"Voor de ondernemer in de binnenvaart, bedoeld in , die geen woonplaats heeft als bedoeld in , bestaat het recht op bijstand jegens het college van de gemeente waar de ondernemer in de binnenvaart op het moment van de aanvraag zijn feitelijke ligplaats heeft.artikel 1, onderdeel k, van het Besluit bijstandverlening zelfstandigen 2004",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=3&lid=3&z=2020-04-22&g=2020-04-22
13,Hoofdstuk1,Artikel4,Lid1,,,,"De aanvraag kan worden ingediend door middel van een door Onze Minister beschikbaar gesteld formulier. De hiervoor benodigde gegevens worden niet verkregen van de zelfstandige voor zover zij door Onze Minister verkregen kunnen worden uit het handelsregister, bedoeld in , alsmede van Onze Minister van Onderwijs, Cultuur en Wetenschap.artikel 2 van de Handelsregisterwet 2007",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=4&lid=1&z=2020-04-22&g=2020-04-22
14,Hoofdstuk1,Artikel4,Lid2,,,,De voor de aanvraag benodigde gegevens worden door Onze Minister niet verkregen van de zelfstandige voor zover zij door het college verkregen kunnen worden uit de basisregistratie personen.,22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=4&lid=2&z=2020-04-22&g=2020-04-22
15,Hoofdstuk1,Artikel4,Lid3,,,,"In afwijking van  is het Inlichtingenbureau verwerker voor Onze Minister voor het verwerken van de gegevens die door tussenkomst van het Inlichtingenbureau door Onze Minister worden verkregen ten behoeve van de taak, bedoeld in het eerste lid.artikel 5.24, eerste lid, van het Besluit SUWI",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=1&artikel=4&lid=3&z=2020-04-22&g=2020-04-22
16,Hoofdstuk2,Artikel5,,,,,In de verklaring wordt door de aanvrager van algemene bijstand het volgende verklaard en de volgende informatie verstrekt:,22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=2&artikel=5&z=2020-04-22&g=2020-04-22
17,Hoofdstuk2,Artikel5,Onderdeela,,,,"dat diens bedrijf of zelfstandig beroep financieel is geraakt als gevolg van de crisis in verband met COVID-19, voorzien van een toelichting;",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=2&artikel=5&o=a&z=2020-04-22&g=2020-04-22
18,Hoofdstuk2,Artikel5,Onderdeelb,,,,"dat hij voor de kalendermaanden waarover algemene bijstand wordt aangevraagd, verwacht een in aanmerking te nemen inkomen te hebben dat lager is dan de bijstandsnorm; en",22-04-2020,jci1.3:c:BWBR0043402&hoofdstuk=2&artikel=5&o=b&z=2020-04-22&g=2020-04-22
