,artikelnr:,text:,jci1.0:,jci1.3:,versie:,tags,verbs
0,/Hoofdstuk1/Artikel1,"Allen die zich in Nederland bevinden, worden in gelijke gevallen gelijk behandeld. Discriminatie wegens godsdienst, levensovertuiging, politieke gezindheid, ras, geslacht of op welke grond dan ook, is niet toegestaan.",1.0:c:BWBR0001840&artikel=1&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=1&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('Allen', 'PRP'), ('die', 'PRP'), ('zich', 'PRP')], ['PP', ('in', 'IN')], ['NP', ('Nederland', 'NNP')], ['VP', ('bevinden', 'VBP')], ['VP', ('worden', 'MD')], ['PP', ('in', 'IN')], ['NP', ('gelijke', 'JJ'), ('gevallen', 'NNS'), ('gelijk', 'NN')], ['VP', ('behandeld', 'VBN')], ['NP', ('Discriminatie', 'NNP')], ['PP', ('wegens', 'IN')], ['NP', ('godsdienst', 'NN')], ['NP', ('levensovertuiging', 'NN')], ['NP', ('politieke', 'JJ'), ('gezindheid', 'NN')], ['NP', ('ras', 'NN')], ['NP', ('geslacht', 'NN')], ['PP', ('op', 'IN')], ['NP', ('welke', 'PRP'), ('grond', 'NN')], ['ADVP', ('dan', 'RB'), ('ook', 'RB')], ['VP', ('is', 'MD'), ('niet', 'RB'), ('toegestaan', 'VBN')]]","{'bevinden': 'bevinden', 'behandelen': 'behandeld', 'toestaan': 'toegestaan'}"
1,/Hoofdstuk1/Artikel2," $ Lid1 :  $  De wet regelt wie Nederlander is.  $ Lid2 :  $  De wet regelt de toelating en de uitzetting van vreemdelingen.  $ Lid3 :  $  Uitlevering kan slechts geschieden krachtens verdrag. Verdere voorschriften omtrent uitlevering worden bij de wet gegeven.  $ Lid4 :  $  Ieder heeft het recht het land te verlaten, behoudens in de gevallen, bij de wet bepaald.",1.0:c:BWBR0001840&artikel=2&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=2&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('De', 'DT'), ('wet', 'NN')], ['VP', ('regelt', 'VBZ')], ['NP', ('wie', 'PRP'), ('Nederlander', 'NN')], ['VP', ('is', 'MD')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['NP', ('$', 'CD'), ('De', 'DT'), ('wet', 'NN')], ['VP', ('regelt', 'VBZ')], ['NP', ('de', 'DT'), ('toelating', 'NN')], ['NP', ('de', 'DT'), ('uitzetting', 'NN')], ['PP', ('van', 'IN')], ['NP', ('vreemdelingen', 'NNS')], ['NP', ('$', 'CD'), ('Lid3', 'NNP')], ['NP', ('$', 'CD'), ('Uitlevering', 'NNP')], ['VP', ('kan', 'MD')], ['ADVP', ('slechts', 'RB')], ['NP', ('geschieden', 'NNS')], ['PP', ('krachtens', 'IN')], ['NP', ('verdrag', 'NN')], ['NP', ('Verdere', 'JJR'), ('voorschriften', 'NNS')], ['PP', ('omtrent', 'IN')], ['NP', ('uitlevering', 'NN')], ['VP', ('worden', 'MD')], ['PP', ('bij', 'IN')], ['NP', ('de', 'DT'), ('wet', 'NN')], ['VP', ('gegeven', 'VBN')], ['NP', ('$', 'CD'), ('Lid4', 'NNP')], ['NP', ('$', 'CD'), ('Ieder', 'NNP')], ['VP', ('heeft', 'MD')], ['NP', ('het', 'DT'), ('recht', 'NN')], ['NP', ('het', 'DT'), ('land', 'NN')], ['VP', ('te', 'TO'), ('verlaten', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('de', 'DT'), ('gevallen', 'NNS')], ['PP', ('bij', 'IN')], ['NP', ('de', 'DT'), ('wet', 'NN')], ['ADVP', ('bepaald', 'RB')]]","{'regelen': 'regelt', 'geven': 'gegeven', 'verlaten': 'verlaten'}"
2,/Hoofdstuk1/Artikel3,Alle Nederlanders zijn op gelijke voet in openbare dienst benoembaar.,1.0:c:BWBR0001840&artikel=3&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=3&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('Alle', 'PRP'), ('Nederlanders', 'NNS'), ('zijn', 'PRP')], ['PP', ('op', 'IN')], ['NP', ('gelijke', 'JJ'), ('voet', 'NN')], ['PP', ('in', 'IN')], ['NP', ('openbare', 'JJ'), ('dienst', 'NN')], ['ADJP', ('benoembaar', 'JJ')]]",{}
3,/Hoofdstuk1/Artikel4,"Iedere Nederlander heeft gelijkelijk recht de leden van algemeen vertegenwoordigende organen te verkiezen alsmede tot lid van deze organen te worden verkozen, behoudens bij de wet gestelde beperkingen en uitzonderingen.",1.0:c:BWBR0001840&artikel=4&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=4&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('Iedere', 'PRP'), ('Nederlander', 'NN')], ['VP', ('heeft', 'MD')], ['NP', ('gelijkelijk', 'JJ'), ('recht', 'NN')], ['NP', ('de', 'DT'), ('leden', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('algemeen', 'NN')], ['VP', ('vertegenwoordigende', 'VBG')], ['NP', ('organen', 'NNS')], ['VP', ('te', 'TO'), ('verkiezen', 'VB')], ['PP', ('tot', 'IN')], ['NP', ('lid', 'NN')], ['VP', ('van', 'VB')], ['NP', ('deze', 'PRP'), ('organen', 'NNS')], ['VP', ('te', 'TO'), ('worden', 'MD'), ('verkozen', 'VBN')], ['PP', ('bij', 'IN')], ['ADJP', ('wet', 'JJ')], ['VP', ('gestelde', 'VBN')], ['NP', ('beperkingen', 'NNS'), ('en', 'CC'), ('uitzonderingen', 'NNS')]]","{'vertegenwoordigennen': 'vertegenwoordigende', 'verkiezen': 'verkozen', 'vannen': 'van', 'gestelen': 'gestelde'}"
4,/Hoofdstuk1/Artikel5,Ieder heeft het recht verzoeken schriftelijk bij het bevoegd gezag in te dienen.,1.0:c:BWBR0001840&artikel=5&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=5&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('Ieder', 'PRP')], ['VP', ('heeft', 'MD')], ['NP', ('het', 'DT'), ('recht', 'NN')], ['VP', ('verzoeken', 'VB')], ['ADJP', ('schriftelijk', 'JJ')], ['PP', ('bij', 'IN')], ['VP', ('bevoegd', 'VBN')], ['NP', ('gezag', 'NN')], ['VP', ('dienen', 'MD')]]","{'verzoeken': 'verzoeken', 'bevoegden': 'bevoegd'}"
5,/Hoofdstuk1/Artikel6," $ Lid1 :  $  Ieder heeft het recht zijn godsdienst of levensovertuiging, individueel of in gemeenschap met anderen, vrij te belijden, behoudens ieders verantwoordelijkheid volgens de wet.  $ Lid2 :  $  De wet kan ter zake van de uitoefening van dit recht buiten gebouwen en besloten plaatsen regels stellen ter bescherming van de gezondheid, in het belang van het verkeer en ter bestrijding of voorkoming van wanordelijkheden.",1.0:c:BWBR0001840&artikel=6&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=6&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Ieder', 'NNP')], ['VP', ('heeft', 'MD')], ['NP', ('het', 'DT'), ('recht', 'NN'), ('zijn', 'PRP$'), ('godsdienst', 'NN')], ['NP', ('levensovertuiging', 'NN')], ['ADJP', ('individueel', 'JJ')], ['PP', ('in', 'IN')], ['NP', ('gemeenschap', 'NN')], ['PP', ('met', 'IN')], ['NP', ('anderen', 'PRP')], ['ADJP', ('vrij', 'JJ')], ['VP', ('te', 'TO'), ('belijden', 'VBP')], ['PP', ('behoudens', 'IN')], ['NP', ('ieders', 'PRP'), ('verantwoordelijkheid', 'NN')], ['PP', ('volgens', 'IN')], ['NP', ('de', 'DT'), ('wet', 'NN')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['NP', ('$', 'CD'), ('De', 'DT'), ('wet', 'NN')], ['VP', ('kan', 'MD')], ['PP', ('ter', 'IN')], ['NP', ('zake', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('uitoefening', 'NN')], ['VP', ('van', 'VB')], ['NP', ('dit', 'PRP'), ('recht', 'NN'), ('buiten', 'RB'), ('gebouwen', 'NNS')], ['VP', ('besloten', 'VBD')], ['NP', ('plaatsen', 'NNS'), ('regels', 'NNS')], ['VP', ('stellen', 'VB')], ['PP', ('ter', 'IN')], ['NP', ('bescherming', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('gezondheid', 'NN')], ['PP', ('in', 'IN')], ['NP', ('het', 'DT'), ('belang', 'NN')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('verkeer', 'NN')], ['PP', ('ter', 'IN')], ['NP', ('bestrijding', 'NN'), ('of', 'CC'), ('voorkoming', 'NN')], ['PP', ('van', 'IN')], ['NP', ('wanordelijkheden', 'NNS')]]","{'belijden': 'belijden', 'vannen': 'van', 'besluiten': 'besloten', 'stellen': 'stellen'}"
6,/Hoofdstuk1/Artikel7," $ Lid1 :  $  Niemand heeft voorafgaand verlof nodig om door de drukpers gedachten of gevoelens te openbaren, behoudens ieders verantwoordelijkheid volgens de wet.  $ Lid2 :  $  De wet stelt regels omtrent radio en televisie. Er is geen voorafgaand toezicht op de inhoud van een radio- of televisieuitzending.  $ Lid3 :  $  Voor het openbaren van gedachten of gevoelens door andere dan in de voorgaande leden genoemde middelen heeft niemand voorafgaand verlof nodig wegens de inhoud daarvan, behoudens ieders verantwoordelijkheid volgens de wet. De wet kan het geven van vertoningen toegankelijk voor personen jonger dan zestien jaar regelen ter bescherming van de goede zeden.  $ Lid4 :  $  De voorgaande leden zijn niet van toepassing op het maken van handelsreclame.",1.0:c:BWBR0001840&artikel=7&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=7&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Niemand', 'PRP')], ['VP', ('heeft', 'MD')], ['NP', ('voorafgaand', 'JJ'), ('verlof', 'NN')], ['ADJP', ('nodig', 'JJ')], ['PP', ('door', 'IN')], ['NP', ('de', 'DT'), ('drukpers', 'NNS'), ('gedachten', 'NNS')], ['NP', ('gevoelens', 'NNS')], ['VP', ('te', 'TO'), ('openbaren', 'VB')], ['PP', ('behoudens', 'IN')], ['NP', ('ieders', 'PRP'), ('verantwoordelijkheid', 'NN')], ['PP', ('volgens', 'IN')], ['NP', ('de', 'DT'), ('wet', 'NN')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['NP', ('$', 'CD'), ('De', 'DT'), ('wet', 'NN')], ['VP', ('stelt', 'VBP')], ['NP', ('regels', 'NNS')], ['PP', ('omtrent', 'IN')], ['NP', ('radio', 'NN'), ('en', 'CC'), ('televisie', 'NN')], ['ADVP', ('Er', 'RB')], ['VP', ('is', 'MD')], ['NP', ('geen', 'PRP'), ('voorafgaand', 'JJ'), ('toezicht', 'NN')], ['PP', ('op', 'IN')], ['NP', ('de', 'DT'), ('inhoud', 'NN')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('radio', 'NN')], ['NP', ('televisieuitzending', 'NN')], ['NP', ('$', 'CD'), ('Lid3', 'NNP')], ['PP', ('Voor', 'IN')], ['NP', ('het', 'DT'), ('openbaren', 'NN')], ['PP', ('van', 'IN')], ['NP', ('gedachten', 'NNS'), ('of', 'CC'), ('gevoelens', 'NNS')], ['PP', ('door', 'IN')], ['NP', ('andere', 'PRP')], ['ADVP', ('dan', 'RB')], ['PP', ('in', 'IN')], ['NP', ('de', 'DT'), ('voorgaande', 'JJ'), ('leden', 'NNS')], ['VP', ('genoemde', 'VBN')], ['NP', ('middelen', 'NNS')], ['VP', ('heeft', 'MD')], ['NP', ('niemand', 'DT'), ('voorafgaand', 'NN'), ('verlof', 'NN')], ['ADJP', ('nodig', 'JJ')], ['PP', ('wegens', 'IN')], ['NP', ('de', 'DT'), ('inhoud', 'NN')], ['ADVP', ('daarvan', 'RB')], ['PP', ('behoudens', 'IN')], ['NP', ('ieders', 'PRP'), ('verantwoordelijkheid', 'NN')], ['PP', ('volgens', 'IN')], ['NP', ('de', 'DT'), ('wet', 'NN')], ['NP', ('De', 'DT'), ('wet', 'NN')], ['VP', ('kan', 'MD')], ['VP', ('geven', 'VB')], ['PP', ('van', 'IN')], ['NP', ('vertoningen', 'NNS')], ['VP', ('toegankelijk', 'VBN')], ['PP', ('voor', 'IN')], ['NP', ('personen', 'NNS')], ['ADJP', ('jonger', 'JJR')], ['NP', ('zestien', 'CD'), ('jaar', 'NN')], ['VP', ('regelen', 'VB')], ['PP', ('ter', 'IN')], ['NP', ('bescherming', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('goede', 'JJ'), ('zeden', 'NNS')], ['NP', ('$', 'CD'), ('Lid4', 'NNP')], ['NP', ('$', 'CD'), ('De', 'DT'), ('voorgaande', 'JJ'), ('leden', 'NNS'), ('zijn', 'PRP')], ['ADVP', ('niet', 'RB')], ['PP', ('van', 'IN')], ['NP', ('toepassing', 'NN')], ['PP', ('op', 'IN')], ['VP', ('maken', 'VB')], ['PP', ('van', 'IN')], ['NP', ('handelsreclame', 'NN')]]","{'openbaren': 'openbaren', 'stellen': 'stelt', 'genoemen': 'genoemde', 'geven': 'geven', 'toegankelijken': 'toegankelijk', 'regelen': 'regelen', 'maken': 'maken'}"
7,/Hoofdstuk1/Artikel8,Het recht tot vereniging wordt erkend. Bij de wet kan dit recht worden beperkt in het belang van de openbare orde.,1.0:c:BWBR0001840&artikel=8&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=8&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('Het', 'DT'), ('recht', 'NN')], ['PP', ('tot', 'IN')], ['NP', ('vereniging', 'NN')], ['VP', ('wordt', 'MD'), ('erkend', 'VBN')], ['PP', ('Bij', 'IN')], ['NP', ('de', 'DT'), ('wet', 'NN')], ['VP', ('kan', 'MD')], ['NP', ('dit', 'PRP'), ('recht', 'NN')], ['VP', ('worden', 'MD'), ('beperkt', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('het', 'DT'), ('belang', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('openbare', 'JJ'), ('orde', 'NN')]]","{'erkennen': 'erkend', 'beperken': 'beperkt'}"
8,/Hoofdstuk1/Artikel9," $ Lid1 :  $  Het recht tot vergadering en betoging wordt erkend, behoudens ieders verantwoordelijkheid volgens de wet.  $ Lid2 :  $  De wet kan regels stellen ter bescherming van de gezondheid, in het belang van het verkeer en ter bestrijding of voorkoming van wanordelijkheden.",1.0:c:BWBR0001840&artikel=9&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=9&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Het', 'DT'), ('recht', 'NN')], ['PP', ('tot', 'IN')], ['NP', ('vergadering', 'NN'), ('en', 'CC'), ('betoging', 'NN')], ['VP', ('wordt', 'MD'), ('erkend', 'VBN')], ['PP', ('behoudens', 'IN')], ['NP', ('ieders', 'PRP'), ('verantwoordelijkheid', 'NN')], ['PP', ('volgens', 'IN')], ['NP', ('de', 'DT'), ('wet', 'NN')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['NP', ('$', 'CD'), ('De', 'DT'), ('wet', 'NN')], ['VP', ('kan', 'MD')], ['NP', ('regels', 'NNS')], ['VP', ('stellen', 'VB')], ['PP', ('ter', 'IN')], ['NP', ('bescherming', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('gezondheid', 'NN')], ['PP', ('in', 'IN')], ['NP', ('het', 'DT'), ('belang', 'NN')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('verkeer', 'NN')], ['PP', ('ter', 'IN')], ['NP', ('bestrijding', 'NN'), ('of', 'CC'), ('voorkoming', 'NN')], ['PP', ('van', 'IN')], ['NP', ('wanordelijkheden', 'NNS')]]","{'erkennen': 'erkend', 'stellen': 'stellen'}"
9,/Hoofdstuk1/Artikel10," $ Lid1 :  $  Ieder heeft, behoudens bij of krachtens de wet te stellen beperkingen, recht op eerbiediging van zijn persoonlijke levenssfeer.  $ Lid2 :  $  De wet stelt regels ter bescherming van de persoonlijke levenssfeer in verband met het vastleggen en verstrekken van persoonsgegevens.  $ Lid3 :  $  De wet stelt regels inzake de aanspraken van personen op kennisneming van over hen vastgelegde gegevens en van het gebruik dat daarvan wordt gemaakt, alsmede op verbetering van zodanige gegevens.",1.0:c:BWBR0001840&artikel=10&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=10&z=2018-12-21&g=2018-12-21,21-12-2018,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Ieder', 'NNP')], ['VP', ('heeft', 'VBZ')], ['PP', ('bij', 'IN')], ['PP', ('krachtens', 'IN')], ['NP', ('de', 'DT'), ('wet', 'NN')], ['VP', ('te', 'TO'), ('stellen', 'VB')], ['NP', ('beperkingen', 'NNS')], ['NP', ('recht', 'NN')], ['PP', ('op', 'IN')], ['NP', ('eerbiediging', 'NN'), ('van', 'NNS')], ['VP', ('zijn', 'MD')], ['NP', ('persoonlijke', 'JJ'), ('levenssfeer', 'NN')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['NP', ('$', 'CD'), ('De', 'DT'), ('wet', 'NN')], ['VP', ('stelt', 'VBP')], ['NP', ('regels', 'NNS')], ['PP', ('ter', 'IN')], ['NP', ('bescherming', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('persoonlijke', 'JJ'), ('levenssfeer', 'NN')], ['PP', ('in', 'IN')], ['NP', ('verband', 'NN')], ['PP', ('met', 'IN')], ['NP', ('het', 'DT'), ('vastleggen', 'NN')], ['VP', ('verstrekken', 'VBP')], ['PP', ('van', 'IN')], ['NP', ('persoonsgegevens', 'NNS')], ['NP', ('$', 'CD'), ('Lid3', 'NNP')], ['NP', ('$', 'CD'), ('De', 'DT'), ('wet', 'NN')], ['VP', ('stelt', 'VBP')], ['NP', ('regels', 'NNS')], ['PP', ('inzake', 'IN')], ['NP', ('de', 'DT'), ('aanspraken', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('personen', 'NNS')], ['PP', ('op', 'IN')], ['NP', ('kennisneming', 'NN')], ['PP', ('over', 'IN')], ['NP', ('hen', 'PRP')], ['VP', ('vastgelegde', 'VBN')], ['NP', ('gegevens', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('gebruik', 'NN')], ['VP', ('daarvan', 'RB'), ('wordt', 'MD'), ('gemaakt', 'VBN')], ['PP', ('op', 'IN')], ['NP', ('verbetering', 'NN')], ['PP', ('van', 'IN')], ['NP', ('zodanige', 'JJ'), ('gegevens', 'NNS')]]","{'hebben': 'heeft', 'stellen': 'stelt', 'verstrekken': 'verstrekken', 'vastgeleggen': 'vastgelegde', 'maken': 'gemaakt'}"
