,artikelnr:,text:,jci1.0:,jci1.3:,versie:,tags,verbs
0,/Hoofdstuk2/Afdeling2.1/Artikel2:1, $ Lid1 :  $  Een ieder kan zich ter behartiging van zijn belangen in het verkeer met bestuursorganen laten bijstaan of door een gemachtigde laten vertegenwoordigen.  $ Lid2 :  $  Het bestuursorgaan kan van een gemachtigde een schriftelijke machtiging verlangen.,1.0:c:BWBR0005537&artikel=2%3A1&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:1&z=2019-11-14&g=2019-11-14,01-01-1994,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Een', 'DT'), ('ieder', 'PRP')], ['VP', ('kan', 'MD')], ['NP', ('zich', 'PRP')], ['PP', ('ter', 'IN')], ['NP', ('behartiging', 'NN'), ('van', 'NNS')], ['VP', ('zijn', 'MD')], ['NP', ('belangen', 'NNS')], ['PP', ('in', 'IN')], ['NP', ('het', 'DT'), ('verkeer', 'NN')], ['PP', ('met', 'IN')], ['NP', ('bestuursorganen', 'NNS')], ['VP', ('laten', 'MD')], ['NP', ('bijstaan', 'NN')], ['PP', ('door', 'IN')], ['VP', ('gemachtigde', 'VBN'), ('laten', 'MD'), ('vertegenwoordigen', 'VB')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['NP', ('$', 'CD'), ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('kan', 'MD')], ['PP', ('van', 'IN')], ['VP', ('gemachtigde', 'VBN')], ['NP', ('een', 'DT'), ('schriftelijke', 'JJ'), ('machtiging', 'NN'), ('verlangen', 'NN')]]","{'gemachtigen': 'gemachtigde', 'vertegenwoordigen': 'vertegenwoordigen'}"
1,/Hoofdstuk2/Afdeling2.1/Artikel2:2," $ Lid1 :  $  Het bestuursorgaan kan bijstand of vertegenwoordiging door een persoon tegen wie ernstige bezwaren bestaan, weigeren.  $ Lid2 :  $  De belanghebbende en de in het eerste lid bedoelde persoon worden van de weigering onverwijld schriftelijk in kennis gesteld.  $ Lid3 :  $  Het eerste lid is niet van toepassing ten aanzien van advocaten.",1.0:c:BWBR0005537&artikel=2%3A2&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:2&z=2019-11-14&g=2019-11-14,01-09-2008,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('kan', 'MD')], ['NP', ('bijstand', 'NN'), ('of', 'CC'), ('vertegenwoordiging', 'NN')], ['PP', ('door', 'IN')], ['NP', ('een', 'DT'), ('persoon', 'NN')], ['PP', ('tegen', 'IN')], ['NP', ('wie', 'PRP'), ('ernstige', 'JJ'), ('bezwaren', 'NNS')], ['VP', ('bestaan', 'VB')], ['VP', ('weigeren', 'VBP')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['VP', ('belanghebbende', 'VBG')], ['PP', ('in', 'IN')], ['ADJP', ('lid', 'JJ')], ['VP', ('bedoelde', 'VBN')], ['NP', ('persoon', 'NN')], ['VP', ('worden', 'MD')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('weigering', 'NN'), ('onverwijld', 'NN')], ['ADJP', ('schriftelijk', 'JJ')], ['PP', ('in', 'IN')], ['NP', ('kennis', 'NN')], ['VP', ('gesteld', 'VBN')], ['NP', ('$', 'CD'), ('Lid3', 'NNP')], ['NP', ('$', 'CD'), ('Het', 'DT'), ('eerste', 'CD'), ('lid', 'NN')], ['VP', ('is', 'MD')], ['ADVP', ('niet', 'RB')], ['PP', ('van', 'IN')], ['NP', ('toepassing', 'NN')], ['PP', ('ten', 'IN')], ['NP', ('aanzien', 'NN')], ['PP', ('van', 'IN')], ['NP', ('advocaten', 'NNS')]]","{'bestaan': 'bestaan', 'weigeren': 'weigeren', 'belanghebbennen': 'belanghebbende', 'bedoelen': 'bedoelde', 'stellen': 'gesteld'}"
2,/Hoofdstuk2/Afdeling2.1/Artikel2:3," $ Lid1 :  $  Het bestuursorgaan zendt geschriften tot behandeling waarvan kennelijk een ander bestuursorgaan bevoegd is, onverwijld door naar dat orgaan, onder gelijktijdige mededeling daarvan aan de afzender.  $ Lid2 :  $  Het bestuursorgaan zendt geschriften die niet voor hem bestemd zijn en die ook niet worden doorgezonden, zo spoedig mogelijk terug aan de afzender.",1.0:c:BWBR0005537&artikel=2%3A3&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:3&z=2019-11-14&g=2019-11-14,01-01-1994,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('zendt', 'VBZ')], ['NP', ('geschriften', 'NNS')], ['PP', ('tot', 'IN')], ['NP', ('behandeling', 'NN')], ['ADJP', ('waarvan', 'RB'), ('kennelijk', 'JJ')], ['NP', ('een', 'DT'), ('ander', 'PRP'), ('bestuursorgaan', 'NN')], ['VP', ('bevoegd', 'VBN')], ['VP', ('is', 'MD')], ['NP', ('onverwijld', 'NN')], ['NP', ('dat', 'PRP'), ('orgaan', 'NN')], ['PP', ('onder', 'IN')], ['NP', ('gelijktijdige', 'JJ'), ('mededeling', 'NN')], ['ADVP', ('daarvan', 'RB')], ['PP', ('aan', 'IN')], ['NP', ('de', 'DT'), ('afzender', 'NN')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['NP', ('$', 'CD'), ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('zendt', 'VBZ')], ['NP', ('geschriften', 'NNS'), ('die', 'PRP')], ['ADVP', ('niet', 'RB')], ['PP', ('voor', 'IN')], ['NP', ('hem', 'PRP')], ['VP', ('bestemd', 'VBN')], ['NP', ('zijn', 'PRP$'), ('en', 'CC'), ('die', 'PRP')], ['VP', ('ook', 'RB'), ('niet', 'RB'), ('worden', 'MD'), ('doorgezonden', 'VBN')], ['ADJP', ('zo', 'RB'), ('spoedig', 'JJ'), ('mogelijk', 'JJ')], ['ADVP', ('terug', 'RB')], ['PP', ('aan', 'IN')], ['NP', ('de', 'DT'), ('afzender', 'NN')]]","{'zenden': 'zendt', 'bevoegden': 'bevoegd', 'bestemmen': 'bestemd', 'doorgezonnen': 'doorgezonden'}"
3,/Hoofdstuk2/Afdeling2.1/Artikel2:4," $ Lid1 :  $  Het bestuursorgaan vervult zijn taak zonder vooringenomenheid.  $ Lid2 :  $  Het bestuursorgaan waakt ertegen dat tot het bestuursorgaan behorende of daarvoor werkzame personen die een persoonlijk belang bij een besluit hebben, de besluitvorming benvloeden.",1.0:c:BWBR0005537&artikel=2%3A4&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:4&z=2019-11-14&g=2019-11-14,01-01-1994,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('vervult', 'VBZ')], ['NP', ('zijn', 'PRP$'), ('taak', 'NN')], ['PP', ('zonder', 'IN')], ['NP', ('vooringenomenheid', 'NN')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['NP', ('$', 'CD'), ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('waakt', 'VBN')], ['ADVP', ('ertegen', 'RB')], ['NP', ('dat', 'PRP')], ['PP', ('tot', 'IN')], ['NP', ('het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('behorende', 'VBG')], ['NP', ('daarvoor', 'RB'), ('werkzame', 'JJ'), ('personen', 'NNS'), ('die', 'PRP')], ['NP', ('een', 'DT'), ('persoonlijk', 'JJ'), ('belang', 'NN')], ['PP', ('bij', 'IN')], ['NP', ('een', 'DT'), ('besluit', 'NN')], ['VP', ('hebben', 'VBP')], ['NP', ('de', 'DT'), ('besluitvorming', 'NN'), ('benvloeden', 'NNS')]]","{'vervullen': 'vervult', 'waken': 'waakt', 'behorennen': 'behorende', 'hebben': 'hebben'}"
4,/Hoofdstuk2/Afdeling2.1/Artikel2:5," $ Lid1 :  $  Een ieder die is betrokken bij de uitvoering van de taak van een bestuursorgaan en daarbij de beschikking krijgt over gegevens waarvan hij het vertrouwelijke karakter kent of redelijkerwijs moet vermoeden, en voor wie niet reeds uit hoofde van ambt, beroep of wettelijk voorschrift ter zake van die gegevens een geheimhoudingsplicht geldt, is verplicht tot geheimhouding van die gegevens, behoudens voor zover enig wettelijk voorschrift hem tot mededeling verplicht of uit zijn taak de noodzaak tot mededeling voortvloeit.  $ Lid2 :  $  Het eerste lid is mede van toepassing op instellingen en daartoe behorende of daarvoor werkzame personen die door een bestuursorgaan worden betrokken bij de uitvoering van zijn taak, en op instellingen en daartoe behorende of daarvoor werkzame personen die een bij of krachtens de wet toegekende taak uitoefenen.",1.0:c:BWBR0005537&artikel=2%3A5&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:5&z=2019-11-14&g=2019-11-14,01-01-1994,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Een', 'DT'), ('ieder', 'PRP'), ('die', 'PRP')], ['VP', ('is', 'MD'), ('betrokken', 'VBN')], ['PP', ('bij', 'IN')], ['NP', ('de', 'DT'), ('uitvoering', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('taak', 'NN')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('bestuursorgaan', 'NN')], ['ADVP', ('daarbij', 'RB')], ['NP', ('de', 'DT'), ('beschikking', 'NN')], ['VP', ('krijgt', 'VBZ')], ['PP', ('over', 'IN')], ['NP', ('gegevens', 'NNS'), ('waarvan', 'RB'), ('hij', 'PRP')], ['NP', ('het', 'DT'), ('vertrouwelijke', 'JJ'), ('karakter', 'NN')], ['VP', ('kent', 'VBZ')], ['VP', ('redelijkerwijs', 'RB'), ('moet', 'MD'), ('vermoeden', 'VB')], ['PP', ('voor', 'IN')], ['NP', ('wie', 'PRP')], ['ADVP', ('niet', 'RB'), ('reeds', 'RB')], ['PP', ('uit', 'IN')], ['NP', ('hoofde', 'NN')], ['PP', ('van', 'IN')], ['NP', ('ambt', 'NN')], ['NP', ('beroep', 'NN'), ('of', 'CC'), ('wettelijk', 'JJ'), ('voorschrift', 'NN')], ['PP', ('ter', 'IN')], ['NP', ('zake', 'NN')], ['PP', ('van', 'IN')], ['NP', ('die', 'PRP'), ('gegevens', 'NNS'), ('een', 'DT'), ('geheimhoudingsplicht', 'NN')], ['VP', ('geldt', 'VBZ')], ['VP', ('is', 'MD'), ('verplicht', 'VBN')], ['PP', ('tot', 'IN')], ['NP', ('geheimhouding', 'NN')], ['PP', ('van', 'IN')], ['NP', ('die', 'PRP'), ('gegevens', 'NNS')], ['PP', ('voor', 'IN')], ['ADVP', ('zover', 'RB')], ['NP', ('enig', 'PRP')], ['NP', ('wettelijk', 'JJ'), ('voorschrift', 'NN'), ('hem', 'PRP')], ['PP', ('tot', 'IN')], ['NP', ('mededeling', 'NN')], ['VP', ('verplicht', 'VBN')], ['NP', ('uit', 'NNS')], ['VP', ('zijn', 'MD')], ['NP', ('taak', 'NN'), ('de', 'DT'), ('noodzaak', 'NN')], ['PP', ('tot', 'IN')], ['NP', ('mededeling', 'NN')], ['VP', ('voortvloeit', 'VBZ')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['NP', ('$', 'CD'), ('Het', 'DT'), ('eerste', 'CD'), ('lid', 'NN')], ['VP', ('is', 'MD')], ['ADVP', ('mede', 'RB')], ['PP', ('van', 'IN')], ['NP', ('toepassing', 'NN')], ['PP', ('op', 'IN')], ['NP', ('instellingen', 'NNS')], ['VP', ('daartoe', 'RB'), ('behorende', 'VBG')], ['NP', ('daarvoor', 'RB'), ('werkzame', 'JJ'), ('personen', 'NNS'), ('die', 'PRP')], ['PP', ('door', 'IN')], ['NP', ('een', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('worden', 'MD'), ('betrokken', 'VBN')], ['PP', ('bij', 'IN')], ['NP', ('de', 'DT'), ('uitvoering', 'NN'), ('van', 'NNS')], ['VP', ('zijn', 'MD')], ['NP', ('taak', 'NN')], ['PP', ('op', 'IN')], ['NP', ('instellingen', 'NNS')], ['VP', ('daartoe', 'RB'), ('behorende', 'VBG')], ['NP', ('daarvoor', 'RB'), ('werkzame', 'JJ'), ('personen', 'NNS'), ('die', 'PRP')], ['PP', ('bij', 'IN')], ['PP', ('krachtens', 'IN')], ['NP', ('de', 'DT'), ('wet', 'NN')], ['VP', ('toegekende', 'VBN')], ['NP', ('taak', 'NN')], ['VP', ('uitoefenen', 'VB')]]","{'betrekken': 'betrokken', 'krijgen': 'krijgt', 'kennen': 'kent', 'vermoeden': 'vermoeden', 'gelden': 'geldt', 'verplichten': 'verplicht', 'voortvloeien': 'voortvloeit', 'behorennen': 'behorende', 'toegekennen': 'toegekende', 'uitoefenen': 'uitoefenen'}"
5,/Hoofdstuk2/Afdeling2.2/Artikel2:6," $ Lid1 :  $  Bestuursorganen en onder hun verantwoordelijkheid werkzame personen gebruiken de Nederlandse taal, tenzij bij wettelijk voorschrift anders is bepaald.  $ Lid2 :  $  In afwijking van het eerste lid kan een andere taal worden gebruikt indien het gebruik daarvan doelmatiger is en de belangen van derden daardoor niet onevenredig worden geschaad.",1.0:c:BWBR0005537&artikel=2%3A6&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.2&artikel=2:6&z=2019-11-14&g=2019-11-14,01-07-1995,"[['NP', ('$', 'CD'), ('Lid1', 'NNP')], ['NP', ('$', 'CD'), ('Bestuursorganen', 'NNP')], ['PP', ('onder', 'IN')], ['NP', ('hun', 'PRP$'), ('verantwoordelijkheid', 'NN'), ('werkzame', 'JJ'), ('personen', 'NNS')], ['VP', ('gebruiken', 'VB')], ['NP', ('de', 'DT'), ('Nederlandse', 'JJ'), ('taal', 'NN')], ['NP', ('tenzij', 'PRP')], ['PP', ('bij', 'IN')], ['NP', ('wettelijk', 'JJ'), ('voorschrift', 'NN')], ['ADVP', ('anders', 'RB')], ['VP', ('is', 'MD')], ['ADVP', ('bepaald', 'RB')], ['NP', ('$', 'CD'), ('Lid2', 'NNP')], ['PP', ('In', 'IN')], ['NP', ('afwijking', 'NN')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('eerste', 'CD'), ('lid', 'NN')], ['VP', ('kan', 'MD')], ['NP', ('een', 'DT'), ('andere', 'PRP'), ('taal', 'NN')], ['VP', ('worden', 'MD'), ('gebruikt', 'VBN')], ['NP', ('het', 'DT'), ('gebruik', 'NN')], ['ADJP', ('daarvan', 'RB'), ('doelmatiger', 'JJR')], ['VP', ('is', 'MD')], ['NP', ('de', 'DT'), ('belangen', 'NNS')], ['PP', ('van', 'IN')], ['ADJP', ('daardoor', 'RB'), ('niet', 'RB'), ('onevenredig', 'JJ')], ['VP', ('worden', 'MD'), ('geschaad', 'VBN')]]","{'gebruiken': 'gebruikt', 'schaden': 'geschaad'}"
6,/Hoofdstuk2/Afdeling2.2/Artikel2:7,,1.0:c:BWBR0005537&artikel=2%3A7&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.2&artikel=2:7&z=2019-11-14&g=2019-11-14,01-01-2014,[],{}
7,/Hoofdstuk2/Afdeling2.2/Artikel2:8,,1.0:c:BWBR0005537&artikel=2%3A8&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.2&artikel=2:8&z=2019-11-14&g=2019-11-14,01-01-2014,[],{}
8,/Hoofdstuk2/Afdeling2.2/Artikel2:9,,1.0:c:BWBR0005537&artikel=2%3A9&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.2&artikel=2:9&z=2019-11-14&g=2019-11-14,01-01-2014,[],{}
9,/Hoofdstuk2/Afdeling2.2/Artikel2:10,,1.0:c:BWBR0005537&artikel=2%3A10&g=2019-11-14,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.2&artikel=2:10&z=2019-11-14&g=2019-11-14,01-01-2014,[],{}
