,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3,tags,verbs
0,Hoofdstuk2,Afdeling2.1,Artikel2:1,Lid1,,,Een ieder kan zich ter behartiging van zijn belangen in het verkeer met bestuursorganen laten bijstaan of door een gemachtigde laten vertegenwoordigen.,01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:1&lid=1&z=2020-04-15&g=2020-04-15,"[['NP', ('Een', 'DT'), ('ieder', 'PRP')], ['VP', ('kan', 'MD')], ['NP', ('zich', 'PRP')], ['PP', ('ter', 'IN')], ['NP', ('behartiging', 'NN'), ('van', 'NNS')], ['VP', ('zijn', 'MD')], ['NP', ('belangen', 'NNS')], ['PP', ('in', 'IN')], ['NP', ('het', 'DT'), ('verkeer', 'NN')], ['PP', ('met', 'IN')], ['NP', ('bestuursorganen', 'NNS')], ['VP', ('laten', 'MD')], ['NP', ('bijstaan', 'NN')], ['PP', ('door', 'IN')], ['VP', ('gemachtigde', 'VBN'), ('laten', 'MD'), ('vertegenwoordigen', 'VB')]]","{'gemachtigen': 'gemachtigde', 'vertegenwoordigen': 'vertegenwoordigen'}"
1,Hoofdstuk2,Afdeling2.1,Artikel2:1,Lid2,,,Het bestuursorgaan kan van een gemachtigde een schriftelijke machtiging verlangen.,01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:1&lid=2&z=2020-04-15&g=2020-04-15,"[['NP', ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('kan', 'MD')], ['PP', ('van', 'IN')], ['VP', ('gemachtigde', 'VBN')], ['NP', ('een', 'DT'), ('schriftelijke', 'JJ'), ('machtiging', 'NN'), ('verlangen', 'NN')]]",{'gemachtigen': 'gemachtigde'}
2,Hoofdstuk2,Afdeling2.1,Artikel2:2,Lid1,,,"Het bestuursorgaan kan bijstand of vertegenwoordiging door een persoon tegen wie ernstige bezwaren bestaan, weigeren.",01-09-2008,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:2&lid=1&z=2020-04-15&g=2020-04-15,"[['NP', ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('kan', 'MD')], ['NP', ('bijstand', 'NN'), ('of', 'CC'), ('vertegenwoordiging', 'NN')], ['PP', ('door', 'IN')], ['NP', ('een', 'DT'), ('persoon', 'NN')], ['PP', ('tegen', 'IN')], ['NP', ('wie', 'PRP'), ('ernstige', 'JJ'), ('bezwaren', 'NNS')], ['VP', ('bestaan', 'VB')], ['VP', ('weigeren', 'VBP')]]","{'bestaan': 'bestaan', 'weigeren': 'weigeren'}"
3,Hoofdstuk2,Afdeling2.1,Artikel2:2,Lid2,,,De belanghebbende en de in het eerste lid bedoelde persoon worden van de weigering onverwijld schriftelijk in kennis gesteld.,01-09-2008,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:2&lid=2&z=2020-04-15&g=2020-04-15,"[['VP', ('belanghebbende', 'VBG')], ['PP', ('in', 'IN')], ['ADJP', ('lid', 'JJ')], ['VP', ('bedoelde', 'VBN')], ['NP', ('persoon', 'NN')], ['VP', ('worden', 'MD')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('weigering', 'NN'), ('onverwijld', 'NN')], ['ADJP', ('schriftelijk', 'JJ')], ['PP', ('in', 'IN')], ['NP', ('kennis', 'NN')], ['VP', ('gesteld', 'VBN')]]","{'belanghebbennen': 'belanghebbende', 'bedoelen': 'bedoelde', 'stellen': 'gesteld'}"
4,Hoofdstuk2,Afdeling2.1,Artikel2:2,Lid3,,,Het eerste lid is niet van toepassing ten aanzien van advocaten.,01-09-2008,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:2&lid=3&z=2020-04-15&g=2020-04-15,"[['NP', ('Het', 'DT'), ('eerste', 'CD'), ('lid', 'NN')], ['VP', ('is', 'MD')], ['ADVP', ('niet', 'RB')], ['PP', ('van', 'IN')], ['NP', ('toepassing', 'NN')], ['PP', ('ten', 'IN')], ['NP', ('aanzien', 'NN')], ['PP', ('van', 'IN')], ['NP', ('advocaten', 'NNS')]]",{}
5,Hoofdstuk2,Afdeling2.1,Artikel2:3,Lid1,,,"Het bestuursorgaan zendt geschriften tot behandeling waarvan kennelijk een ander bestuursorgaan bevoegd is, onverwijld door naar dat orgaan, onder gelijktijdige mededeling daarvan aan de afzender.",01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:3&lid=1&z=2020-04-15&g=2020-04-15,"[['NP', ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('zendt', 'VBZ')], ['NP', ('geschriften', 'NNS')], ['PP', ('tot', 'IN')], ['NP', ('behandeling', 'NN')], ['ADJP', ('waarvan', 'RB'), ('kennelijk', 'JJ')], ['NP', ('een', 'DT'), ('ander', 'PRP'), ('bestuursorgaan', 'NN')], ['VP', ('bevoegd', 'VBN')], ['VP', ('is', 'MD')], ['NP', ('onverwijld', 'NN')], ['NP', ('dat', 'PRP'), ('orgaan', 'NN')], ['PP', ('onder', 'IN')], ['NP', ('gelijktijdige', 'JJ'), ('mededeling', 'NN')], ['ADVP', ('daarvan', 'RB')], ['PP', ('aan', 'IN')], ['NP', ('de', 'DT'), ('afzender', 'NN')]]","{'zenden': 'zendt', 'bevoegden': 'bevoegd'}"
6,Hoofdstuk2,Afdeling2.1,Artikel2:3,Lid2,,,"Het bestuursorgaan zendt geschriften die niet voor hem bestemd zijn en die ook niet worden doorgezonden, zo spoedig mogelijk terug aan de afzender.",01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:3&lid=2&z=2020-04-15&g=2020-04-15,"[['NP', ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('zendt', 'VBZ')], ['NP', ('geschriften', 'NNS'), ('die', 'PRP')], ['ADVP', ('niet', 'RB')], ['PP', ('voor', 'IN')], ['NP', ('hem', 'PRP')], ['VP', ('bestemd', 'VBN')], ['NP', ('zijn', 'PRP$'), ('en', 'CC'), ('die', 'PRP')], ['VP', ('ook', 'RB'), ('niet', 'RB'), ('worden', 'MD'), ('doorgezonden', 'VBN')], ['ADJP', ('zo', 'RB'), ('spoedig', 'JJ'), ('mogelijk', 'JJ')], ['ADVP', ('terug', 'RB')], ['PP', ('aan', 'IN')], ['NP', ('de', 'DT'), ('afzender', 'NN')]]","{'zenden': 'zendt', 'bestemmen': 'bestemd', 'doorgezonnen': 'doorgezonden'}"
7,Hoofdstuk2,Afdeling2.1,Artikel2:4,Lid1,,,Het bestuursorgaan vervult zijn taak zonder vooringenomenheid.,01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:4&lid=1&z=2020-04-15&g=2020-04-15,"[['NP', ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('vervult', 'VBZ')], ['NP', ('zijn', 'PRP$'), ('taak', 'NN')], ['PP', ('zonder', 'IN')], ['NP', ('vooringenomenheid', 'NN')]]",{'vervullen': 'vervult'}
8,Hoofdstuk2,Afdeling2.1,Artikel2:4,Lid2,,,"Het bestuursorgaan waakt ertegen dat tot het bestuursorgaan behorende of daarvoor werkzame personen die een persoonlijk belang bij een besluit hebben, de besluitvorming benvloeden.",01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:4&lid=2&z=2020-04-15&g=2020-04-15,"[['NP', ('Het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('waakt', 'VBN')], ['ADVP', ('ertegen', 'RB')], ['NP', ('dat', 'PRP')], ['PP', ('tot', 'IN')], ['NP', ('het', 'DT'), ('bestuursorgaan', 'NN')], ['VP', ('behorende', 'VBG')], ['NP', ('daarvoor', 'RB'), ('werkzame', 'JJ'), ('personen', 'NNS'), ('die', 'PRP')], ['NP', ('een', 'DT'), ('persoonlijk', 'JJ'), ('belang', 'NN')], ['PP', ('bij', 'IN')], ['NP', ('een', 'DT'), ('besluit', 'NN')], ['VP', ('hebben', 'VBP')], ['NP', ('de', 'DT'), ('besluitvorming', 'NN'), ('benvloeden', 'NNS')]]","{'waken': 'waakt', 'behorennen': 'behorende', 'hebben': 'hebben'}"
9,Hoofdstuk2,Afdeling2.1,Artikel2:5,Lid1,,,"Een ieder die is betrokken bij de uitvoering van de taak van een bestuursorgaan en daarbij de beschikking krijgt over gegevens waarvan hij het vertrouwelijke karakter kent of redelijkerwijs moet vermoeden, en voor wie niet reeds uit hoofde van ambt, beroep of wettelijk voorschrift ter zake van die gegevens een geheimhoudingsplicht geldt, is verplicht tot geheimhouding van die gegevens, behoudens voor zover enig wettelijk voorschrift hem tot mededeling verplicht of uit zijn taak de noodzaak tot mededeling voortvloeit.",01-01-1994,jci1.3:c:BWBR0005537&hoofdstuk=2&afdeling=2.1&artikel=2:5&lid=1&z=2020-04-15&g=2020-04-15,"[['NP', ('Een', 'DT'), ('ieder', 'PRP'), ('die', 'PRP')], ['VP', ('is', 'MD'), ('betrokken', 'VBN')], ['PP', ('bij', 'IN')], ['NP', ('de', 'DT'), ('uitvoering', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('taak', 'NN')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('bestuursorgaan', 'NN')], ['ADVP', ('daarbij', 'RB')], ['NP', ('de', 'DT'), ('beschikking', 'NN')], ['VP', ('krijgt', 'VBZ')], ['PP', ('over', 'IN')], ['NP', ('gegevens', 'NNS'), ('waarvan', 'RB'), ('hij', 'PRP')], ['NP', ('het', 'DT'), ('vertrouwelijke', 'JJ'), ('karakter', 'NN')], ['VP', ('kent', 'VBZ')], ['VP', ('redelijkerwijs', 'RB'), ('moet', 'MD'), ('vermoeden', 'VB')], ['PP', ('voor', 'IN')], ['NP', ('wie', 'PRP')], ['ADVP', ('niet', 'RB'), ('reeds', 'RB')], ['PP', ('uit', 'IN')], ['NP', ('hoofde', 'NN')], ['PP', ('van', 'IN')], ['NP', ('ambt', 'NN')], ['NP', ('beroep', 'NN'), ('of', 'CC'), ('wettelijk', 'JJ'), ('voorschrift', 'NN')], ['PP', ('ter', 'IN')], ['NP', ('zake', 'NN')], ['PP', ('van', 'IN')], ['NP', ('die', 'PRP'), ('gegevens', 'NNS'), ('een', 'DT'), ('geheimhoudingsplicht', 'NN')], ['VP', ('geldt', 'VBZ')], ['VP', ('is', 'MD'), ('verplicht', 'VBN')], ['PP', ('tot', 'IN')], ['NP', ('geheimhouding', 'NN')], ['PP', ('van', 'IN')], ['NP', ('die', 'PRP'), ('gegevens', 'NNS')], ['PP', ('voor', 'IN')], ['ADVP', ('zover', 'RB')], ['NP', ('enig', 'PRP')], ['NP', ('wettelijk', 'JJ'), ('voorschrift', 'NN'), ('hem', 'PRP')], ['PP', ('tot', 'IN')], ['NP', ('mededeling', 'NN')], ['VP', ('verplicht', 'VBN')], ['NP', ('uit', 'NNS')], ['VP', ('zijn', 'MD')], ['NP', ('taak', 'NN'), ('de', 'DT'), ('noodzaak', 'NN')], ['PP', ('tot', 'IN')], ['NP', ('mededeling', 'NN')], ['VP', ('voortvloeit', 'VBZ')]]","{'betrekken': 'betrokken', 'krijgen': 'krijgt', 'kennen': 'kent', 'vermoeden': 'vermoeden', 'gelden': 'geldt', 'verplichten': 'verplicht', 'voortvloeien': 'voortvloeit'}"
