,artikelnr:,text:,jci1.0:,jci1.3:,versie:,tags,verbs
0,/Hoofdstuk1/Artikel1.1,"Deze aanwijzingen hebben betrekking op regelingen die onder ministeriële
                            verantwoordelijkheid tot stand komen, en, voor zover uitdrukkelijk aangegeven, op verdragen,
                            bindende besluiten van instellingen van de Europese Unie en andere besluiten van
                            volkenrechtelijke organisaties.",1.0:c:BWBR0005730&artikel=1.1&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=1&aanwijzing=1.1&z=2018-01-01&g=2018-01-01,01-01-2018,"[['NP', ('Deze', 'PRP'), ('aanwijzingen', 'NNS')], ['VP', ('hebben', 'MD')], ['NP', ('betrekking', 'NN')], ['PP', ('op', 'IN')], ['NP', ('regelingen', 'NNS'), ('die', 'PRP')], ['PP', ('onder', 'IN')], ['NP', ('ministeriële', 'JJ'), ('verantwoordelijkheid', 'NN')], ['PP', ('tot', 'IN')], ['NP', ('stand', 'NN')], ['VP', ('komen', 'VB')], ['PP', ('voor', 'IN')], ['ADJP', ('zover', 'RB'), ('uitdrukkelijk', 'JJ')], ['VP', ('aangegeven', 'VBN')], ['VP', ('verdragen', 'VBP')], ['VP', ('bindende', 'VBG'), ('besluiten', 'VBP')], ['PP', ('van', 'IN')], ['NP', ('instellingen', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Europese', 'JJ'), ('Unie', 'NNP')], ['NP', ('andere', 'PRP')], ['VP', ('besluiten', 'VBP')], ['PP', ('van', 'IN')], ['NP', ('volkenrechtelijke', 'JJ'), ('organisaties', 'NNS')]]","{'komen': 'komen', 'aangeven': 'aangegeven', 'verdragen': 'verdragen', 'bindennen': 'bindende', 'besluiten': 'besluiten'}"
1,/Hoofdstuk1/Artikel1.2,"Deze aanwijzingen worden in acht genomen door de ministers en staatssecretarissen en de
                                onder hen ressorterende personen die bij de voorbereiding en vaststelling van regelingen
                                zijn betrokken. $$ Afwijking van deze aanwijzingen is slechts toegestaan, indien onverkorte toepassing
                                daarvan uit een oogpunt van goede regelgeving niet tot aanvaardbare resultaten zou
                                leiden.",1.0:c:BWBR0005730&artikel=1.2&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=1&aanwijzing=1.2&z=2018-01-01&g=2018-01-01,01-01-2018,"[['NP', ('Deze', 'PRP'), ('aanwijzingen', 'NNS')], ['VP', ('worden', 'MD')], ['PP', ('in', 'IN')], ['VP', ('genomen', 'VBN')], ['PP', ('door', 'IN')], ['NP', ('de', 'DT'), ('ministers', 'NNS')], ['NP', ('staatssecretarissen', 'NNS')], ['PP', ('onder', 'IN')], ['NP', ('hen', 'PRP')], ['VP', ('ressorterende', 'VBG')], ['NP', ('personen', 'NNS'), ('die', 'PRP')], ['PP', ('bij', 'IN')], ['NP', ('de', 'DT'), ('voorbereiding', 'NN')], ['NP', ('vaststelling', 'NN')], ['PP', ('van', 'IN')], ['NP', ('regelingen', 'NNS'), ('zijn', 'PRP')], ['VP', ('betrokken', 'VBN')], ['NP', ('$', 'CD'), ('$', 'CD'), ('Afwijking', 'NNP')], ['VP', ('van', 'VB')], ['NP', ('deze', 'PRP'), ('aanwijzingen', 'NNS')], ['VP', ('is', 'MD'), ('slechts', 'RB'), ('toegestaan', 'VBN')], ['NP', ('indien', 'PRP'), ('onverkorte', 'NN'), ('toepassing', 'NN')], ['ADVP', ('daarvan', 'RB')], ['PP', ('uit', 'IN')], ['NP', ('een', 'DT'), ('oogpunt', 'NN')], ['PP', ('van', 'IN')], ['NP', ('goede', 'JJ'), ('regelgeving', 'NN')], ['ADVP', ('niet', 'RB')], ['PP', ('tot', 'IN')], ['NP', ('aanvaardbare', 'JJ'), ('resultaten', 'NNS')], ['VP', ('zou', 'MD'), ('leiden', 'VB')]]","{'nemen': 'genomen', 'ressorterennen': 'ressorterende', 'betrekken': 'betrokken', 'vannen': 'van', 'toestaan': 'toegestaan', 'leiden': 'leiden'}"
2,/Hoofdstuk1/Artikel1.3,"Onder regelingen wordt in deze aanwijzingen verstaan: $$ algemeen verbindende voorschriften; $$ interne regels; $$ beleidsregels. $$ Onder EU-regelgeving wordt in deze aanwijzingen verstaan: door de instellingen van de
                                Europese Unie of de Europese Gemeenschap voor Atoomenergie vastgestelde: $$ verordeningen; $$ richtlijnen. $$ Onder bindende EU-rechtshandelingen wordt in deze aanwijzingen verstaan: door de
                                instellingen van de Europese Unie of de Europese Gemeenschap voor Atoomenergie
                                vastgestelde: $$ verordeningen; $$ richtlijnen; $$ besluiten zonder vermelding van adressaten; $$ besluiten met vermelding van adressaten, voor zover mede tot Nederland
                                        gericht.",1.0:c:BWBR0005730&artikel=1.3&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=1&aanwijzing=1.3&z=2018-01-01&g=2018-01-01,01-01-2018,"[['PP', ('Onder', 'IN')], ['NP', ('regelingen', 'NNS')], ['VP', ('wordt', 'MD'), ('in', 'VB')], ['NP', ('deze', 'PRP'), ('aanwijzingen', 'NNS')], ['VP', ('verstaan', 'VB')], ['NP', ('$', 'CD'), ('$', 'CD'), ('algemeen', 'NN')], ['VP', ('verbindende', 'VBG')], ['NP', ('voorschriften', 'NNS')], ['NP', ('$', 'CD'), ('$', 'CD'), ('interne', 'JJ'), ('regels', 'NNS')], ['NP', ('$', 'CD'), ('$', 'CD'), ('beleidsregels', 'NNS')], ['PP', ('Onder', 'IN')], ['NP', ('EU-regelgeving', 'NN')], ['VP', ('wordt', 'MD'), ('in', 'VB')], ['NP', ('deze', 'PRP'), ('aanwijzingen', 'NNS')], ['VP', ('verstaan', 'VB')], ['PP', ('door', 'IN')], ['NP', ('de', 'DT'), ('instellingen', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Europese', 'JJ'), ('Unie', 'NNP')], ['NP', ('de', 'DT'), ('Europese', 'JJ'), ('Gemeenschap', 'NNP')], ['PP', ('voor', 'IN')], ['NP', ('Atoomenergie', 'NNP')], ['VP', ('vastgestelde', 'VBN')], ['NP', ('$', 'CD'), ('$', 'CD'), ('verordeningen', 'NNS')], ['NP', ('$', 'CD'), ('$', 'CD'), ('richtlijnen', 'NNS')], ['PP', ('Onder', 'IN')], ['VP', ('bindende', 'VBG')], ['NP', ('EU-rechtshandelingen', 'NNS')], ['VP', ('wordt', 'MD'), ('in', 'VB')], ['NP', ('deze', 'PRP'), ('aanwijzingen', 'NNS')], ['VP', ('verstaan', 'VB')], ['PP', ('door', 'IN')], ['NP', ('de', 'DT'), ('instellingen', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Europese', 'JJ'), ('Unie', 'NNP')], ['NP', ('de', 'DT'), ('Europese', 'JJ'), ('Gemeenschap', 'NNP')], ['PP', ('voor', 'IN')], ['NP', ('Atoomenergie', 'NNP')], ['VP', ('vastgestelde', 'VBN')], ['NP', ('$', 'CD'), ('$', 'CD'), ('verordeningen', 'NNS')], ['NP', ('$', 'CD'), ('$', 'CD'), ('richtlijnen', 'NNS')], ['VP', ('besluiten', 'VB')], ['PP', ('zonder', 'IN')], ['NP', ('vermelding', 'NN')], ['PP', ('van', 'IN')], ['NP', ('adressaten', 'NNS')], ['VP', ('besluiten', 'VB')], ['PP', ('met', 'IN')], ['NP', ('vermelding', 'NN')], ['PP', ('van', 'IN')], ['NP', ('adressaten', 'NNS')], ['PP', ('voor', 'IN')], ['ADVP', ('zover', 'RB'), ('mede', 'RB')], ['PP', ('tot', 'IN')], ['NP', ('Nederland', 'NNP')], ['VP', ('gericht', 'VBN')]]","{'innen': 'in', 'verstaan': 'verstaan', 'verbindennen': 'verbindende', 'vastgestelen': 'vastgestelde', 'bindennen': 'bindende', 'besluiten': 'besluiten', 'richten': 'gericht'}"
3,/Hoofdstuk2/Paragraaf2.1/Artikel2.1,"Voor het normeren van gedragingen, handelingen of bevoegdheden worden algemeen
                                verbindende voorschriften, interne regels of beleidsregels gebruikt.",1.0:c:BWBR0005730&artikel=2.1&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.1&z=2018-01-01&g=2018-01-01,01-01-2018,"[['PP', ('Voor', 'IN')], ['NP', ('het', 'DT'), ('normeren', 'NN')], ['PP', ('van', 'IN')], ['NP', ('gedragingen', 'NNS')], ['NP', ('handelingen', 'NNS'), ('of', 'CC'), ('bevoegdheden', 'NNS')], ['VP', ('worden', 'MD')], ['NP', ('algemeen', 'NN')], ['VP', ('verbindende', 'VBG')], ['NP', ('voorschriften', 'NNS')], ['NP', ('interne', 'JJ'), ('regels', 'NNS')], ['NP', ('beleidsregels', 'NNS')], ['VP', ('gebruikt', 'VBN')]]","{'verbindennen': 'verbindende', 'gebruiken': 'gebruikt'}"
4,/Hoofdstuk2/Paragraaf2.1/Artikel2.2,"Tot het tot stand brengen van een regeling wordt alleen besloten indien de noodzaak
                                daarvan is komen vast te staan.",1.0:c:BWBR0005730&artikel=2.2&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.2&z=2018-01-01&g=2018-01-01,01-01-2018,"[['PP', ('Tot', 'IN')], ['PP', ('tot', 'IN')], ['NP', ('stand', 'NN')], ['VP', ('brengen', 'VB')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('regeling', 'NN')], ['VP', ('wordt', 'MD'), ('alleen', 'RB'), ('besloten', 'VBD')], ['NP', ('de', 'DT'), ('noodzaak', 'NN')], ['VP', ('daarvan', 'RB'), ('is', 'MD'), ('komen', 'VB')], ['ADJP', ('vast', 'JJ')], ['VP', ('te', 'TO'), ('staan', 'VB')]]","{'brengen': 'brengen', 'besluiten': 'besloten', 'komen': 'komen', 'staan': 'staan'}"
5,/Hoofdstuk2/Paragraaf2.1/Artikel2.3,"Alvorens tot het tot stand brengen van een regeling wordt besloten, worden de volgende
                                stappen gezet: $$ kennis wordt vergaard over de relevante feiten en omstandigheden met betrekking
                                        tot het bewuste onderwerp; $$ de doelen die moeten worden bereikt, worden zo concreet en nauwkeurig mogelijk
                                        vastgesteld; $$ onderzocht wordt of de doelen kunnen worden bereikt door middel van het
                                        zelfregulerend vermogen in de betrokken sector of sectoren, of dat daarvoor
                                        overheidsinterventie noodzakelijk is; $$ indien overheidsinterventie noodzakelijk is, wordt onderzocht of de gekozen
                                        doelen kunnen worden bereikt door aanpassing of beter gebruik van bestaande
                                        instrumenten dan wel, indien dit niet mogelijk blijkt, welke nieuwe instrumenten
                                        kunnen worden ingezet om de doelen te bereiken; $$ de diverse mogelijkheden worden zorgvuldig tegen elkaar afgewogen.",1.0:c:BWBR0005730&artikel=2.3&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.3&z=2018-01-01&g=2018-01-01,01-01-2018,"[['PP', ('tot', 'IN')], ['PP', ('tot', 'IN')], ['NP', ('stand', 'NN')], ['VP', ('brengen', 'VB')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('regeling', 'NN')], ['VP', ('wordt', 'MD'), ('besloten', 'VBD')], ['VP', ('worden', 'MD')], ['VP', ('volgende', 'VBG'), ('stappen', 'VB'), ('gezet', 'VBN')], ['NP', ('$', 'CD'), ('$', 'CD'), ('kennis', 'NN')], ['VP', ('wordt', 'MD'), ('vergaard', 'VBN')], ['PP', ('over', 'IN')], ['NP', ('de', 'DT'), ('relevante', 'JJ'), ('feiten', 'NNS')], ['NP', ('omstandigheden', 'NNS')], ['PP', ('met', 'IN')], ['NP', ('betrekking', 'NN')], ['PP', ('tot', 'IN')], ['NP', ('het', 'DT'), ('bewuste', 'JJ'), ('onderwerp', 'NN')], ['NP', ('$', 'CD'), ('$', 'CD'), ('de', 'DT'), ('doelen', 'NNS'), ('die', 'PRP')], ['VP', ('moeten', 'MD'), ('worden', 'MD'), ('bereikt', 'VBN')], ['VP', ('worden', 'MD')], ['ADJP', ('zo', 'RB'), ('concreet', 'JJ'), ('en', 'CC'), ('nauwkeurig', 'JJ'), ('mogelijk', 'JJ')], ['VP', ('vastgesteld', 'VBN')], ['VP', ('onderzocht', 'VBD')], ['VP', ('wordt', 'MD')], ['NP', ('de', 'DT'), ('doelen', 'NNS')], ['VP', ('kunnen', 'MD'), ('worden', 'MD'), ('bereikt', 'VBN')], ['PP', ('door', 'IN')], ['NP', ('middel', 'NN')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('zelfregulerend', 'JJ'), ('vermogen', 'NN')], ['PP', ('in', 'IN')], ['VP', ('betrokken', 'VBN')], ['NP', ('sector', 'NN'), ('of', 'CC'), ('sectoren', 'NNS')], ['ADVP', ('daarvoor', 'RB')], ['NP', ('overheidsinterventie', 'NN'), ('noodzakelijk', 'NN')], ['VP', ('is', 'MD')], ['NP', ('$', 'CD'), ('$', 'CD'), ('indien', 'PRP'), ('overheidsinterventie', 'NN'), ('noodzakelijk', 'NN')], ['VP', ('is', 'MD')], ['VP', ('wordt', 'MD'), ('onderzocht', 'VBD')], ['VP', ('gekozen', 'VBN')], ['NP', ('doelen', 'NNS')], ['VP', ('kunnen', 'MD'), ('worden', 'MD'), ('bereikt', 'VBN')], ['PP', ('door', 'IN')], ['NP', ('aanpassing', 'NN'), ('of', 'CC'), ('beter', 'JJR'), ('gebruik', 'NN')], ['PP', ('van', 'IN')], ['VP', ('bestaande', 'VBG')], ['NP', ('instrumenten', 'NNS')], ['ADVP', ('dan', 'RB'), ('wel', 'RB')], ['NP', ('dit', 'PRP')], ['ADJP', ('niet', 'RB'), ('mogelijk', 'JJ')], ['VP', ('blijkt', 'VBZ')], ['NP', ('welke', 'PRP'), ('nieuwe', 'JJ'), ('instrumenten', 'NNS')], ['VP', ('kunnen', 'MD'), ('worden', 'MD'), ('ingezet', 'VBN')], ['NP', ('de', 'DT'), ('doelen', 'NNS')], ['VP', ('te', 'TO'), ('bereiken', 'VB')], ['NP', ('$', 'CD'), ('$', 'CD'), ('de', 'DT'), ('diverse', 'PRP'), ('mogelijkheden', 'NNS')], ['VP', ('worden', 'MD')], ['ADJP', ('zorgvuldig', 'JJ')], ['PP', ('tegen', 'IN')], ['NP', ('elkaar', 'PRP')], ['VP', ('afgewogen', 'VBN')]]","{'brengen': 'brengen', 'besluiten': 'besloten', 'volgennen': 'volgende', 'stappen': 'stappen', 'zetten': 'gezet', 'vergaren': 'vergaard', 'bereiken': 'bereiken', 'vaststellen': 'vastgesteld', 'onderzoeken': 'onderzocht', 'betrekken': 'betrokken', 'kiezen': 'gekozen', 'bestanen': 'bestaande', 'blijken': 'blijkt', 'inzetten': 'ingezet', 'afwegen': 'afgewogen'}"
6,/Hoofdstuk2/Paragraaf2.1/Artikel2.4,"Met het doen van uitspraken en toezeggingen over nieuwe regelingen wordt grote
                                terughoudendheid betracht.",1.0:c:BWBR0005730&artikel=2.4&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.4&z=2018-01-01&g=2018-01-01,01-01-2018,"[['PP', ('Met', 'IN')], ['VP', ('doen', 'VB')], ['PP', ('van', 'IN')], ['NP', ('uitspraken', 'NNS'), ('en', 'CC'), ('toezeggingen', 'NNS')], ['PP', ('over', 'IN')], ['NP', ('nieuwe', 'JJ'), ('regelingen', 'NNS')], ['VP', ('wordt', 'MD')], ['NP', ('grote', 'JJ'), ('terughoudendheid', 'NN')], ['VP', ('betracht', 'VBZ')]]","{'doen': 'doen', 'betrachten': 'betracht'}"
7,/Hoofdstuk2/Paragraaf2.1/Artikel2.5,"Bij het bepalen van de keuze voor een mogelijkheid tot overheidsinterventie om een doel
                                te bereiken wordt zoveel mogelijk aangesloten bij het zelfregulerend vermogen in de
                                maatschappij.",1.0:c:BWBR0005730&artikel=2.5&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.5&z=2018-01-01&g=2018-01-01,01-01-2018,"[['PP', ('Bij', 'IN')], ['VP', ('bepalen', 'VB')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('keuze', 'NN')], ['PP', ('voor', 'IN')], ['NP', ('een', 'DT'), ('mogelijkheid', 'NN')], ['PP', ('tot', 'IN')], ['NP', ('overheidsinterventie', 'NN'), ('om', 'CC'), ('een', 'DT'), ('doel', 'NN')], ['VP', ('te', 'TO'), ('bereiken', 'VB')], ['VP', ('wordt', 'MD')], ['ADJP', ('mogelijk', 'JJ')], ['VP', ('aangesloten', 'VBN')], ['PP', ('bij', 'IN')], ['NP', ('het', 'DT'), ('zelfregulerend', 'JJ'), ('vermogen', 'NN')], ['PP', ('in', 'IN')], ['NP', ('de', 'DT'), ('maatschappij', 'NN')]]","{'bepalen': 'bepalen', 'bereiken': 'bereiken', 'aansluiten': 'aangesloten'}"
8,/Hoofdstuk2/Paragraaf2.1/Artikel2.6,"Gestreefd wordt naar duidelijkheid en eenvoud van regelingen en naar een bestendig
                                karakter daarvan.",1.0:c:BWBR0005730&artikel=2.6&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.6&z=2018-01-01&g=2018-01-01,01-01-2018,"[['VP', ('Gestreefd', 'VBN')], ['VP', ('wordt', 'MD')], ['PP', ('naar', 'IN')], ['NP', ('duidelijkheid', 'NN'), ('en', 'CC'), ('eenvoud', 'NN')], ['PP', ('van', 'IN')], ['NP', ('regelingen', 'NNS')], ['PP', ('naar', 'IN')], ['NP', ('een', 'DT'), ('bestendig', 'JJ'), ('karakter', 'NN')], ['ADVP', ('daarvan', 'RB')]]",{'streven': 'Gestreefd'}
9,/Hoofdstuk2/Paragraaf2.1/Artikel2.7,"Tot het tot stand brengen van een regeling wordt niet besloten dan nadat is nagegaan
                                    of in voldoende mate handhaving te realiseren valt. $$ Hierbij wordt onderzocht of handhaving het beste langs bestuursrechtelijke,
                                    civielrechtelijke of strafrechtelijke weg dan wel op andere wijze kan plaatsvinden.",1.0:c:BWBR0005730&artikel=2.7&g=2018-01-01,jci1.3:c:BWBR0005730&hoofdstuk=2&paragraaf=2.1&aanwijzing=2.7&z=2018-01-01&g=2018-01-01,01-01-2018,"[['PP', ('Tot', 'IN')], ['PP', ('tot', 'IN')], ['NP', ('stand', 'NN')], ['VP', ('brengen', 'VB')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('regeling', 'NN')], ['VP', ('wordt', 'MD'), ('niet', 'RB'), ('besloten', 'VBD')], ['ADVP', ('dan', 'RB')], ['NP', ('nadat', 'PRP')], ['VP', ('is', 'MD'), ('nagegaan', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('voldoende', 'PRP'), ('mate', 'NN'), ('handhaving', 'NN')], ['VP', ('te', 'TO'), ('realiseren', 'VB'), ('valt', 'VBZ')], ['VP', ('Hierbij', 'RB'), ('wordt', 'MD'), ('onderzocht', 'VBD')], ['NP', ('handhaving', 'NN')], ['ADJP', ('beste', 'JJS')], ['PP', ('langs', 'IN')], ['NP', ('bestuursrechtelijke', 'JJ'), (',', ','), ('civielrechtelijke', 'JJ'), ('of', 'CC'), ('strafrechtelijke', 'JJ'), ('weg', 'NN')], ['ADVP', ('dan', 'RB'), ('wel', 'RB')], ['PP', ('op', 'IN')], ['NP', ('andere', 'PRP'), ('wijze', 'NN')], ['VP', ('kan', 'MD'), ('plaatsvinden', 'VB')]]","{'brengen': 'brengen', 'besluiten': 'besloten', 'nagaan': 'nagegaan', 'realiseren': 'realiseren', 'vallen': 'valt', 'onderzoeken': 'onderzocht', 'plaatsvinden': 'plaatsvinden'}"
