,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3,tags,verbs
0,Hoofdstuk1,Afdeling1,Artikel1,,,,In deze wet en de daarop berustende bepalingen wordt verstaan onder:,28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['VP', ('In', 'VB')], ['NP', ('deze', 'PRP'), ('wet', 'NN')], ['VP', ('daarop', 'RB'), ('berustende', 'VBG')], ['NP', ('bepalingen', 'NNS')], ['VP', ('wordt', 'MD'), ('verstaan', 'VB'), ('onder', 'RP')]]","{'innen': 'In', 'berustennen': 'berustende', 'verstaan': 'verstaan'}"
1,Hoofdstuk1,Afdeling1,Artikel1,Onderdeel_1,,,"aanvullend document: document waarin de aanvullende informatie is opgenomen, bedoeld in artikel 6, eerste lid, tweede alinea van de Richtlijn 2011/98/EU van het Europees Parlement en de Raad van 13 december 2011 betreffende n enkele aanvraagprocedure voor een gecombineerde vergunning voor onderdanen van derde landen om te verblijven en te werken op het grondgebied van een lidstaat, alsmede inzake een gemeenschappelijk pakket rechten voor werknemers uit derde landen die legaal in een lidstaat verblijven (PbEU 2011, L343);",28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['VP', ('aanvullend', 'VBG')], ['NP', ('document', 'NN')], ['NP', ('document', 'NN')], ['ADVP', ('waarin', 'RB')], ['NP', ('de', 'DT'), ('aanvullende', 'JJ'), ('informatie', 'NN')], ['VP', ('is', 'MD'), ('opgenomen', 'VBN')], ['VP', ('bedoeld', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('artikel', 'NN')], ['NP', ('eerste', 'CD'), ('lid', 'NN')], ['NP', ('tweede', 'CD'), ('alinea', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Richtlijn', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('Europees', 'NNP'), ('Parlement', 'NNP')], ['NP', ('de', 'DT'), ('Raad', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('13', 'CD'), ('december', 'NNP')], ['VP', ('betreffende', 'VBG')], ['NP', ('n', 'NN'), ('enkele', 'PRP'), ('aanvraagprocedure', 'NN')], ['PP', ('voor', 'IN')], ['VP', ('gecombineerde', 'VBN')], ['NP', ('vergunning', 'NN')], ['PP', ('voor', 'IN')], ['NP', ('onderdanen', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('derde', 'CD'), ('landen', 'NNS')], ['NP', ('verblijven', 'NNS')], ['VP', ('te', 'TO'), ('werken', 'VBP')], ['PP', ('op', 'IN')], ['NP', ('het', 'DT'), ('grondgebied', 'NN')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('lidstaat', 'NN')], ['PP', ('inzake', 'IN')], ['NP', ('een', 'DT'), ('gemeenschappelijk', 'JJ'), ('pakket', 'NN'), ('rechten', 'NNS')], ['PP', ('voor', 'IN')], ['NP', ('werknemers', 'NNS')], ['PP', ('uit', 'IN')], ['NP', ('derde', 'CD'), ('landen', 'NNS'), ('die', 'PRP'), ('legaal', 'NN')], ['PP', ('in', 'IN')], ['NP', ('een', 'DT'), ('lidstaat', 'NN'), ('verblijven', 'NNS')], ['NP', ('PbEU', 'NN')], ['NP', ('L343', 'NNP')]]","{'aanvullen': 'aanvullend', 'opnemen': 'opgenomen', 'bedoelen': 'bedoeld', 'betreffennen': 'betreffende', 'gecombineren': 'gecombineerde', 'werken': 'werken'}"
2,Hoofdstuk1,Afdeling1,Artikel1,Onderdeel_2,,,"ambtenaren belast met de grensbewaking: de ambtenaren, bedoeld in ;artikel 46",28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['NP', ('ambtenaren', 'NNS')], ['ADJP', ('belast', 'JJ')], ['PP', ('met', 'IN')], ['NP', ('de', 'DT'), ('grensbewaking', 'NN')], ['NP', ('de', 'DT'), ('ambtenaren', 'NNS')], ['VP', ('bedoeld', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('artikel', 'NN')]]",{'bedoelen': 'bedoeld'}
3,Hoofdstuk1,Afdeling1,Artikel1,Onderdeel_3,,,"ambtenaren belast met het toezicht op referenten: de ambtenaren, bedoeld in ;artikel 47a",28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['NP', ('ambtenaren', 'NNS')], ['ADJP', ('belast', 'JJ')], ['PP', ('met', 'IN')], ['NP', ('het', 'DT'), ('toezicht', 'NN')], ['PP', ('op', 'IN')], ['NP', ('referenten', 'NNS')], ['NP', ('de', 'DT'), ('ambtenaren', 'NNS')], ['VP', ('bedoeld', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('artikel', 'NN'), ('47a', 'NN')]]",{'bedoelen': 'bedoeld'}
4,Hoofdstuk1,Afdeling1,Artikel1,Onderdeel_4,,,"ambtenaren belast met het toezicht op vreemdelingen: de ambtenaren, bedoeld in ;artikel 47",28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['NP', ('ambtenaren', 'NNS')], ['ADJP', ('belast', 'JJ')], ['PP', ('met', 'IN')], ['NP', ('het', 'DT'), ('toezicht', 'NN')], ['PP', ('op', 'IN')], ['NP', ('vreemdelingen', 'NNS')], ['NP', ('de', 'DT'), ('ambtenaren', 'NNS')], ['VP', ('bedoeld', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('artikel', 'NN')]]",{'bedoelen': 'bedoeld'}
5,Hoofdstuk1,Afdeling1,Artikel1,Onderdeel_5,,,"asiel: het verblijf van de vreemdeling in Nederland op de gronden, bedoeld in de  en ;artikelen 29",28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['NP', ('asiel', 'NN')], ['NP', ('het', 'DT'), ('verblijf', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('vreemdeling', 'NN')], ['PP', ('in', 'IN')], ['NP', ('Nederland', 'NNP')], ['PP', ('op', 'IN')], ['NP', ('de', 'DT'), ('gronden', 'NNS')], ['VP', ('bedoeld', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('artikelen', 'NNS')]]",{'bedoelen': 'bedoeld'}
6,Hoofdstuk1,Afdeling1,Artikel1,Onderdeel_6,,,"buitengrenzen: de Nederlandse zeegrenzen, alsmede lucht- of zeehavens waar grenscontrole op personen wordt uitgeoefend;",28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['NP', ('buitengrenzen', 'NNS')], ['NP', ('de', 'DT'), ('Nederlandse', 'JJ'), ('zeegrenzen', 'NNS')], ['NP', ('lucht', 'NN')], ['NP', ('zeehavens', 'NNS')], ['ADVP', ('waar', 'RB')], ['NP', ('grenscontrole', 'NN')], ['PP', ('op', 'IN')], ['NP', ('personen', 'NNS')], ['VP', ('wordt', 'MD'), ('uitgeoefend', 'VBN')]]",{'uitoefenen': 'uitgeoefend'}
7,Hoofdstuk1,Afdeling1,Artikel1,Onderdeel_7,,,"Dublinverordening: de verordening (EU) nr. 604/2013 van het Europees Parlement en de Raad van 26 juni 2013 tot vaststelling van de criteria en instrumenten om te bepalen welke lidstaat verantwoordelijk is voor de behandeling van een verzoek om internationale bescherming dat door een onderdaan van een derde land of een staatloze bij een van de lidstaten wordt ingediend (PbEU 2013, L 180);",28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['NP', ('Dublinverordening', 'NNP')], ['NP', ('de', 'DT'), ('verordening', 'NN')], ['NP', ('EU', 'NN')], ['ADJP', ('nr', 'JJR')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('Europees', 'NNP'), ('Parlement', 'NNP')], ['NP', ('de', 'DT'), ('Raad', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('26', 'CD'), ('juni', 'NNP')], ['PP', ('tot', 'IN')], ['NP', ('vaststelling', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('criteria', 'NNS')], ['NP', ('instrumenten', 'NNS')], ['VP', ('te', 'TO'), ('bepalen', 'VB')], ['NP', ('welke', 'PRP'), ('lidstaat', 'NN'), ('verantwoordelijk', 'NN')], ['VP', ('is', 'MD')], ['PP', ('voor', 'IN')], ['NP', ('de', 'DT'), ('behandeling', 'NN')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('verzoek', 'NN')], ['NP', ('internationale', 'JJ'), ('bescherming', 'NN'), ('dat', 'PRP')], ['PP', ('door', 'IN')], ['NP', ('een', 'DT'), ('onderdaan', 'NN')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('derde', 'CD'), ('land', 'NN')], ['NP', ('een', 'DT'), ('staatloze', 'NN')], ['PP', ('bij', 'IN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('lidstaten', 'NNS')], ['VP', ('wordt', 'MD'), ('ingediend', 'VBN')], ['NP', ('PbEU', 'NN')], ['NP', ('L', 'NN')]]","{'bepalen': 'bepalen', 'indienen': 'ingediend'}"
8,Hoofdstuk1,Afdeling1,Artikel1,Onderdeel_8,,,erkende referent: de referent die krachtens  als zodanig is erkend;artikel 2c,28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['ADVP', ('erkende', 'RB')], ['NP', ('referent', 'NN')], ['NP', ('de', 'DT'), ('referent', 'NN'), ('die', 'PRP')], ['NP', ('zodanig', 'PRP')], ['VP', ('is', 'MD')], ['ADVP', ('erkend;artikel', 'RB')]]",{}
9,Hoofdstuk1,Afdeling1,Artikel1,Onderdeel_9,,,Europese verordeningen die betrekking hebben op biometrische gegevens:,28-07-2018,jci1.3:c:BWBR0011823&hoofdstuk=1&afdeling=1&artikel=1&z=2019-02-27&g=2019-02-27,"[['NP', ('Europese', 'JJ'), ('verordeningen', 'NNS'), ('die', 'PRP'), ('betrekking', 'NN')], ['VP', ('hebben', 'MD')], ['PP', ('op', 'IN')], ['NP', ('biometrische', 'JJ'), ('gegevens', 'NNS')]]",{}
