,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3,tags,verbs
0,Hoofdstuk1,Afdeling1,Artikel1.1,,,,In dit besluit en de daarop berustende bepalingen wordt verstaan onder:,23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['VP', ('In', 'VB')], ['NP', ('dit', 'PRP'), ('besluit', 'NN')], ['VP', ('daarop', 'RB'), ('berustende', 'VBG')], ['NP', ('bepalingen', 'NNS')], ['VP', ('wordt', 'MD'), ('verstaan', 'VB'), ('onder', 'RP')]]","{'innen': 'In', 'berustennen': 'berustende', 'verstaan': 'verstaan'}"
1,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_1,,,"Beneluxgebied: het gezamenlijke grondgebied in Europa van het Koninkrijk Belgi, van het Groothertogdom Luxemburg en van het Koninkrijk der Nederlanden;",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['NP', ('Beneluxgebied', 'NNP')], ['NP', ('het', 'DT'), ('gezamenlijke', 'JJ'), ('grondgebied', 'NN')], ['PP', ('in', 'IN')], ['NP', ('Europa', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('Koninkrijk', 'NNP'), ('Belgi', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('Groothertogdom', 'NNP'), ('Luxemburg', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('Koninkrijk', 'NNP')], ['NP', ('der', 'DT'), ('Nederlanden', 'NNP')]]",{}
2,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_2,,,"Benelux-onderdanen: de onderdanen van de staten die partij zijn bij het op 3 februari 1958 te 's-Gravenhage tot stand gekomen Verdrag tot instelling van de Benelux Economische Unie (Trb. 1958, 18);",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['NP', ('Benelux-onderdanen', 'NNP')], ['NP', ('de', 'DT'), ('onderdanen', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('staten', 'NNS'), ('die', 'PRP'), ('partij', 'NN'), ('zijn', 'PRP')], ['PP', ('bij', 'IN')], ['PP', ('op', 'IN')], ['NP', ('3', 'CD'), ('februari', 'NNP')], ['NP', ('s-Gravenhage', 'NN')], ['PP', ('tot', 'IN')], ['NP', ('stand', 'NN')], ['VP', ('gekomen', 'VBN')], ['NP', ('Verdrag', 'NNP')], ['PP', ('tot', 'IN')], ['NP', ('instelling', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Benelux', 'NNP'), ('Economische', 'NNPS'), ('Unie', 'NNP')], ['NP', ('Trb.', 'NNP')]]",{'komen': 'gekomen'}
3,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_3,,,"continentaal plat: hetgeen daaronder wordt verstaan in ;artikel 1, onderdeel c, van de Mijnbouwwet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['NP', ('continentaal', 'JJ'), ('plat', 'NN')], ['NP', ('hetgeen', 'PRP')], ['VP', ('daaronder', 'RB'), ('wordt', 'MD'), ('verstaan', 'VB')], ['PP', ('in', 'IN')], ['NP', ('artikel', 'NN')], ['NP', ('onderdeel', 'NN'), ('c', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Mijnbouwwet', 'NNP')]]",{'verstaan': 'verstaan'}
4,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_4,,,cruiseschip: hetgeen daaronder in de Schengengrenscode wordt verstaan;,23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['NP', ('cruiseschip', 'NN')], ['NP', ('hetgeen', 'PRP')], ['ADVP', ('daaronder', 'RB')], ['PP', ('in', 'IN')], ['NP', ('de', 'DT'), ('Schengengrenscode', 'NNP')], ['VP', ('wordt', 'MD'), ('verstaan', 'VB')]]",{'verstaan': 'verstaan'}
5,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_5,,,de Wet: de ;Vreemdelingenwet 2000,23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['NP', ('de', 'DT'), ('Wet', 'NNP')], ['NP', ('Vreemdelingenwet', 'NNP')]]",{}
6,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_6,,,"Europese blauwe kaart: de verblijfsvergunning regulier voor bepaalde tijd, afgegeven ter uitvoering van artikel 7 van , dan wel een door een andere staat die partij is bij het Verdrag betreffende de werking van de Europese Unie afgegeven verblijfsvergunning ter uitvoering van dat artikel;richtlijn 2009/50/EG",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['NP', ('Europese', 'JJ'), ('blauwe', 'JJ'), ('kaart', 'NN')], ['NP', ('de', 'DT'), ('verblijfsvergunning', 'NN'), ('regulier', 'NN')], ['PP', ('voor', 'IN')], ['NP', ('bepaalde', 'PRP'), ('tijd', 'NN')], ['VP', ('afgegeven', 'VBN')], ['PP', ('ter', 'IN')], ['NP', ('uitvoering', 'NN')], ['PP', ('van', 'IN')], ['NP', ('artikel', 'NN')], ['ADVP', ('dan', 'RB'), ('wel', 'RB')], ['PP', ('door', 'IN')], ['NP', ('een', 'DT'), ('andere', 'PRP')], ['VP', ('staat', 'VBZ')], ['NP', ('die', 'PRP'), ('partij', 'NN')], ['VP', ('is', 'MD')], ['PP', ('bij', 'IN')], ['NP', ('het', 'DT'), ('Verdrag', 'NNP')], ['VP', ('betreffende', 'VBG')], ['NP', ('de', 'DT'), ('werking', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Europese', 'JJ'), ('Unie', 'NNP')], ['VP', ('afgegeven', 'VBN')], ['NP', ('verblijfsvergunning', 'NN')], ['PP', ('ter', 'IN')], ['NP', ('uitvoering', 'NN')], ['NP', ('dat', 'PRP'), ('artikel;richtlijn', 'NN')]]","{'afgeven': 'afgegeven', 'staan': 'staat', 'betreffennen': 'betreffende'}"
7,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_7,,,"EU-verblijfsvergunning voor langdurig ingezetenen: de EU-verblijfsvergunning voor langdurig ingezetenen, bedoeld in ;artikel 45a van de Wet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['NP', ('EU-verblijfsvergunning', 'NN')], ['PP', ('voor', 'IN')], ['NP', ('langdurig', 'JJ'), ('ingezetenen', 'NNS')], ['NP', ('de', 'DT'), ('EU-verblijfsvergunning', 'NN')], ['PP', ('voor', 'IN')], ['NP', ('langdurig', 'JJ'), ('ingezetenen', 'NNS')], ['VP', ('bedoeld', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('artikel', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Wet', 'NNP')]]",{'bedoelen': 'bedoeld'}
8,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_8,,,"gezinsvorming: gezinshereniging van de echtgenoot, geregistreerde partner of niet-geregistreerde partner, voor zover de gezinsband tot stand is gekomen op een tijdstip waarop de hoofdpersoon in Nederland hoofdverblijf had;",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['NP', ('gezinsvorming', 'NN')], ['NP', ('gezinshereniging', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('echtgenoot', 'NN')], ['VP', ('geregistreerde', 'VBN')], ['NP', ('partner', 'NN')], ['VP', ('niet-geregistreerde', 'VBD')], ['NP', ('partner', 'NN')], ['PP', ('voor', 'IN')], ['ADVP', ('zover', 'RB')], ['NP', ('de', 'DT'), ('gezinsband', 'NN')], ['PP', ('tot', 'IN')], ['NP', ('stand', 'NN')], ['VP', ('is', 'MD'), ('gekomen', 'VBN')], ['PP', ('op', 'IN')], ['NP', ('een', 'DT'), ('tijdstip', 'NN')], ['ADVP', ('waarop', 'RB')], ['NP', ('de', 'DT'), ('hoofdpersoon', 'NN')], ['PP', ('in', 'IN')], ['NP', ('Nederland', 'NNP'), ('hoofdverblijf', 'NN')], ['VP', ('had', 'MD')]]","{'geregistreren': 'geregistreerde', 'niet-geregistreren': 'niet-geregistreerde', 'komen': 'gekomen'}"
9,Hoofdstuk1,Afdeling1,Artikel1.1,Onderdeel_9,,,"luchtvaartuig: hetgeen daaronder wordt verstaan in ;artikel 1, eerste lid, onder b, van de Luchtvaartwet",23-05-2018,jci1.3:c:BWBR0011825&hoofdstuk=1&afdeling=1&artikel=1.1&z=2019-07-01&g=2019-07-01,"[['ADJP', ('luchtvaartuig', 'JJ')], ['NP', ('hetgeen', 'PRP')], ['VP', ('daaronder', 'RB'), ('wordt', 'MD'), ('verstaan', 'VB')], ['PP', ('in', 'IN')], ['NP', ('artikel', 'NN')], ['NP', ('eerste', 'CD'), ('lid', 'NN')], ['PP', ('onder', 'IN')], ['ADJP', ('b', 'JJ')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Luchtvaartwet', 'NNP')]]",{'verstaan': 'verstaan'}
