,Unnamed: 0,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3,tags,verbs
0,0,Hoofdstuk1,Artikel1.1,Onderdeel_1,,,,een baten-lastenagentschap of een verplichtingen-kasagentschap;agentschap:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('een', 'DT'), ('baten-lastenagentschap', 'NN')], ['NP', ('een', 'DT'), ('verplichtingen-kasagentschap;agentschap', 'NN')]]",{}
1,1,Hoofdstuk1,Artikel1.1,Onderdeel_2,,,,het dienstonderdeel van het Ministerie van Financin dat belast is met de uitoefening van de auditfunctie bij het Rijk;Auditdienst Rijk:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('dienstonderdeel', 'NN')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('Ministerie', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('Financin', 'NNP'), ('dat', 'CC'), ('belast', 'NN')], ['VP', ('is', 'MD')], ['PP', ('met', 'IN')], ['NP', ('de', 'DT'), ('uitoefening', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('auditfunctie', 'NN')], ['PP', ('bij', 'IN')], ['NP', ('het', 'DT'), ('Rijk;Auditdienst', 'NNP'), ('Rijk', 'NNP')]]",{}
2,2,Hoofdstuk1,Artikel1.1,Onderdeel_3,,,,"een dienstonderdeel van een ministerie, dat op grond van , als baten-lastenagentschap is aangewezen;artikel 2.20, eerste lidbaten-lastenagentschap:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('een', 'DT'), ('dienstonderdeel', 'NN')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('ministerie', 'NN')], ['NP', ('dat', 'PRP')], ['PP', ('op', 'IN')], ['NP', ('grond', 'NN')], ['NP', ('als', 'PRP'), ('baten-lastenagentschap', 'NN')], ['VP', ('is', 'MD'), ('aangewezen;artikel', 'VBN')], ['NP', ('eerste', 'CD'), ('lidbaten-lastenagentschap', 'NN')]]",{'aangewezen;artikelen': 'aangewezen;artikel'}
3,3,Hoofdstuk1,Artikel1.1,Onderdeel_4,,,,"het financieel-administratieve stelsel van rekeningen waarin als uitgaven en ontvangsten in een jaar worden opgenomen de geldswaarden van het verbruik van goederen en diensten (lasten) in dat jaar, respectievelijk de geldswaarden van de rechten op ontvangsten (baten), die in dat jaar ontstaan;baten-lastenstelsel:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('financieel-administratieve', 'JJ'), ('stelsel', 'NN')], ['PP', ('van', 'IN')], ['NP', ('rekeningen', 'NNS')], ['ADVP', ('waarin', 'RB')], ['NP', ('uitgaven', 'NNS')], ['NP', ('ontvangsten', 'NNS')], ['PP', ('in', 'IN')], ['NP', ('een', 'DT'), ('jaar', 'NN')], ['VP', ('worden', 'MD'), ('opgenomen', 'VBN')], ['VP', ('geldswaarden', 'VBN')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('verbruik', 'NN')], ['PP', ('van', 'IN')], ['NP', ('goederen', 'NNS'), ('en', 'CC'), ('diensten', 'NNS')], ['NP', ('lasten', 'NNS')], ['NP', ('dat', 'PRP'), ('jaar', 'NN')], ['ADJP', ('respectievelijk', 'JJ')], ['VP', ('geldswaarden', 'VBN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('rechten', 'NNS')], ['PP', ('op', 'IN')], ['NP', ('ontvangsten', 'NNS')], ['NP', ('baten', 'NNS')], ['NP', ('die', 'PRP')], ['NP', ('dat', 'PRP'), ('jaar', 'NN'), ('ontstaan;baten-lastenstelsel', 'NN')]]","{'opnemen': 'opgenomen', 'geldswaren': 'geldswaarden'}"
4,4,Hoofdstuk1,Artikel1.1,Onderdeel_5,,,,het inzetten van personeel en materieel ter ondersteuning van het beleid of de taak;bedrijfsvoering:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['VP', ('inzetten', 'VBP')], ['PP', ('van', 'IN')], ['NP', ('personeel', 'NN'), ('en', 'CC'), ('materieel', 'NN')], ['PP', ('ter', 'IN')], ['NP', ('ondersteuning', 'NN')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('beleid', 'NN')], ['NP', ('de', 'DT'), ('taak;bedrijfsvoering', 'NN')]]",{'inzetten': 'inzetten'}
5,5,Hoofdstuk1,Artikel1.1,Onderdeel_6,,,,"het sturen en beheersen van het begrotingsproces, waaronder de begrotingsuitvoering en de zorg voor het ramen van de ontvangsten en de uitgaven;begrotingsbeheer:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['VP', ('sturen', 'VB')], ['VP', ('beheersen', 'VBP')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('begrotingsproces', 'NN')], ['ADVP', ('waaronder', 'RB')], ['NP', ('de', 'DT'), ('begrotingsuitvoering', 'NN')], ['NP', ('de', 'DT'), ('zorg', 'NN')], ['PP', ('voor', 'IN')], ['NP', ('het', 'DT'), ('ramen', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('ontvangsten', 'NNS')], ['VP', ('uitgaven;begrotingsbeheer', 'VBN')]]","{'sturen': 'sturen', 'beheersen': 'beheersen', 'uitgaven;begrotingsbeheren': 'uitgaven;begrotingsbeheer'}"
6,6,Hoofdstuk1,Artikel1.1,Onderdeel_7,,,,"een geoormerkte, meerjarige budgettaire voorziening die wordt aangehouden op een afzonderlijke rekening-courant bij het Ministerie van Financin;begrotingsreserve:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('een', 'DT'), ('geoormerkte', 'NN')], ['NP', ('meerjarige', 'JJ'), ('budgettaire', 'JJ'), ('voorziening', 'NN'), ('die', 'PRP')], ['VP', ('wordt', 'MD'), ('aangehouden', 'VBN')], ['PP', ('op', 'IN')], ['NP', ('een', 'DT'), ('afzonderlijke', 'JJ'), ('rekening-courant', 'NN')], ['PP', ('bij', 'IN')], ['NP', ('het', 'DT'), ('Ministerie', 'NNP')], ['PP', ('van', 'IN')], ['ADJP', ('Financin;begrotingsreserve', 'JJ')]]",{'aanhouden': 'aangehouden'}
7,7,Hoofdstuk1,Artikel1.1,Onderdeel_8,,,,"het baten-lastenstelsel, het kasstelsel of het verplichtingen-kasstelsel;begrotingsstelsel:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('baten-lastenstelsel', 'NN')], ['NP', ('het', 'DT'), ('kasstelsel', 'NN')], ['NP', ('het', 'PRP'), ('verplichtingen-kasstelsel;begrotingsstelsel', 'NN')]]",{}
8,8,Hoofdstuk1,Artikel1.1,Onderdeel_9,,,,"het boeken van de geldswaarden van handelingen die betrekking hebben op het financieel beheer op een rekening in de financile administratie, waarvan het saldo wordt opgenomen in een begrotingsartikel in een begrotingsstaat;boeken binnen begrotingsverband:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('boeken', 'NNS')], ['PP', ('van', 'IN')], ['VP', ('geldswaarden', 'VBN')], ['PP', ('van', 'IN')], ['NP', ('handelingen', 'NNS'), ('die', 'PRP'), ('betrekking', 'NN')], ['VP', ('hebben', 'MD')], ['PP', ('op', 'IN')], ['NP', ('het', 'DT'), ('financieel', 'JJ'), ('beheer', 'NN')], ['PP', ('op', 'IN')], ['NP', ('een', 'DT'), ('rekening', 'NN')], ['PP', ('in', 'IN')], ['NP', ('de', 'DT'), ('financile', 'JJ'), ('administratie', 'NN')], ['ADVP', ('waarvan', 'RB')], ['NP', ('het', 'DT'), ('saldo', 'NN')], ['VP', ('wordt', 'MD'), ('opgenomen', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('een', 'DT'), ('begrotingsartikel', 'NN')], ['PP', ('in', 'IN')], ['VP', ('begrotingsstaat;boeken', 'VB')], ['ADVP', ('binnen', 'RB')], ['NP', ('begrotingsverband', 'NN')]]","{'geldswaren': 'geldswaarden', 'opnemen': 'opgenomen', 'begrotingsstaat;boeken': 'begrotingsstaat;boeken'}"
9,9,Hoofdstuk1,Artikel1.1,Onderdeel_10,,,,"het boeken van de geldswaarden van handelingen die betrekking hebben op het financieel beheer op een rekening in de financile administratie, waarvan het saldo niet wordt opgenomen in een begrotingsartikel in een begrotingsstaat;boeken buiten begrotingsverband:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('boeken', 'NNS')], ['PP', ('van', 'IN')], ['VP', ('geldswaarden', 'VBN')], ['PP', ('van', 'IN')], ['NP', ('handelingen', 'NNS'), ('die', 'PRP'), ('betrekking', 'NN')], ['VP', ('hebben', 'MD')], ['PP', ('op', 'IN')], ['NP', ('het', 'DT'), ('financieel', 'JJ'), ('beheer', 'NN')], ['PP', ('op', 'IN')], ['NP', ('een', 'DT'), ('rekening', 'NN')], ['PP', ('in', 'IN')], ['NP', ('de', 'DT'), ('financile', 'JJ'), ('administratie', 'NN')], ['ADVP', ('waarvan', 'RB')], ['NP', ('het', 'PRP'), ('saldo', 'NN')], ['VP', ('niet', 'RB'), ('wordt', 'MD'), ('opgenomen', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('een', 'DT'), ('begrotingsartikel', 'NN')], ['PP', ('in', 'IN')], ['VP', ('begrotingsstaat;boeken', 'VB')], ['ADVP', ('buiten', 'RB')], ['NP', ('begrotingsverband', 'NN')]]","{'geldswaren': 'geldswaarden', 'opnemen': 'opgenomen', 'begrotingsstaat;boeken': 'begrotingsstaat;boeken'}"
