,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3,tags,verbs
0,Artikel1,,,,,,In deze beleidsregel wordt verstaan onder:,25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25,"[['VP', ('In', 'VB')], ['NP', ('deze', 'PRP'), ('beleidsregel', 'NN')], ['VP', ('wordt', 'MD'), ('verstaan', 'VB'), ('onder', 'RP')]]","{'innen': 'In', 'verstaan': 'verstaan'}"
1,Artikel1,Onderdeel_1,,,,,"verordening (EU) nr. 1407/2013 van de Commissie van 18december 2013 betreffende de toepassing van de artikelen 107 en 108 van het Verdrag betreffende de werking van de Europese Unie op de-minimissteun (PbEU 2013, L 352);algemene de-minimisverordening:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25,"[['NP', ('verordening', 'NN')], ['NP', ('EU', 'NN')], ['ADJP', ('nr', 'JJR')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Commissie', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('18december', 'NNP')], ['VP', ('betreffende', 'VBG')], ['NP', ('de', 'DT'), ('toepassing', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('artikelen', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('Verdrag', 'NNP')], ['VP', ('betreffende', 'VBG')], ['NP', ('de', 'DT'), ('werking', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Europese', 'JJ'), ('Unie', 'NNP')], ['PP', ('op', 'IN')], ['NP', ('de-minimissteun', 'NN')], ['NP', ('PbEU', 'NN')], ['NP', ('L', 'NN'), ('352);algemene', 'CD'), ('de-minimisverordening', 'NN')]]",{'betreffennen': 'betreffende'}
2,Artikel1,Onderdeel_2,,,,,"onderneming die op 15maart 2020 stond ingeschreven in het handelsregister onder de code 47.81.1, 47.81.9, 47.82, 47.89.1, 47.89.2, 47.89.9, 49.39.1, 49.32, 50.10, 50.30, 85.53 of 93.21.2 van de Standaard Bedrijfsindeling;ambulante onderneming:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25,"[['NP', ('onderneming', 'NN'), ('die', 'PRP')], ['PP', ('op', 'IN')], ['VP', ('stond', 'VBD'), ('ingeschreven', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('het', 'DT'), ('handelsregister', 'NN')], ['PP', ('onder', 'IN')], ['NP', ('de', 'DT'), ('code', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Standaard', 'NNP')], ['NP', ('Bedrijfsindeling;ambulante', 'JJ'), ('onderneming', 'NN')]]","{'staan': 'stond', 'inschrijven': 'ingeschreven'}"
3,Artikel1,Onderdeel_3,,,,,"gedupeerde onderneming die op 15maart 2020 stond ingeschreven in het handelsregister met een hoofd- of nevenactiviteit die in de tabellen 1a, 1b of 1c van  is opgenomen, met de daarbij behorende code van de Standaard Bedrijfsindeling, en zoals in voorkomend geval nader geclausuleerd;bijlage 1direct gedupeerde onderneming:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25,"[['VP', ('gedupeerde', 'VBN')], ['NP', ('onderneming', 'NN'), ('die', 'PRP')], ['PP', ('op', 'IN')], ['VP', ('stond', 'VBD'), ('ingeschreven', 'VBN')], ['PP', ('in', 'IN')], ['NP', ('het', 'DT'), ('handelsregister', 'NN')], ['PP', ('met', 'IN')], ['NP', ('een', 'DT'), ('hoofd', 'NN')], ['NP', ('nevenactiviteit', 'NN'), ('die', 'PRP')], ['PP', ('in', 'IN')], ['NP', ('de', 'DT'), ('tabellen', 'NNS')], ['PP', ('van', 'IN')], ['VP', ('is', 'MD'), ('opgenomen', 'VBN')], ['PP', ('met', 'IN')], ['VP', ('daarbij', 'RB'), ('behorende', 'VBG')], ['NP', ('code', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Standaard', 'NNP'), ('Bedrijfsindeling', 'NNP')], ['NP', ('zoals', 'PRP')], ['PP', ('in', 'IN')], ['VP', ('voorkomend', 'VBG')], ['NP', ('geval', 'JJ'), ('nader', 'JJ'), ('geclausuleerd;bijlage', 'NN')], ['VP', ('gedupeerde', 'VBN')], ['NP', ('onderneming', 'NN')]]","{'geduperen': 'gedupeerde', 'staan': 'stond', 'inschrijven': 'ingeschreven', 'opnemen': 'opgenomen', 'behorennen': 'behorende', 'voorkomen': 'voorkomend'}"
4,Artikel1,Onderdeel_4,,,,,"in Nederland gevestigde onderneming als bedoeld in , niet zijnde een overheidsbedrijf:artikel 5 van de Handelsregisterwet 2007gedupeerde onderneming:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&z=2020-06-25&g=2020-06-25,"[['PP', ('in', 'IN')], ['NP', ('Nederland', 'NNP')], ['VP', ('gevestigde', 'VBN')], ['NP', ('onderneming', 'NN')], ['VP', ('bedoeld', 'VBN'), ('in', 'RP')], ['VP', ('zijnde', 'MD')], ['NP', ('een', 'DT'), ('overheidsbedrijf:artikel', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Handelsregisterwet', 'NNP')], ['NP', ('2007gedupeerde', 'CD'), ('onderneming', 'NN')]]","{'gevestigen': 'gevestigde', 'bedoelen': 'bedoeld'}"
5,Artikel1,Onderdeel_4,Onderdeela,,,,"die op 15maart 2020 in het handelsregister stond ingeschreven met een hoofd- of nevenactiviteit die in  is opgenomen, met de daarbij behorende code van de Standaard Bedrijfsindeling, en zoals in voorkomend geval nader geclausuleerd;bijlage 1",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=a&z=2020-06-25&g=2020-06-25,"[['NP', ('die', 'PRP')], ['PP', ('op', 'IN')], ['PP', ('in', 'IN')], ['NP', ('het', 'DT'), ('handelsregister', 'NN')], ['VP', ('stond', 'VBD'), ('ingeschreven', 'VBN')], ['PP', ('met', 'IN')], ['NP', ('een', 'DT'), ('hoofd', 'NN')], ['NP', ('nevenactiviteit', 'NN'), ('die', 'PRP')], ['PP', ('in', 'IN')], ['VP', ('is', 'MD'), ('opgenomen', 'VBN')], ['PP', ('met', 'IN')], ['VP', ('daarbij', 'RB'), ('behorende', 'VBG')], ['NP', ('code', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Standaard', 'NNP'), ('Bedrijfsindeling', 'NNP')], ['NP', ('zoals', 'PRP')], ['PP', ('in', 'IN')], ['VP', ('voorkomend', 'VBG')], ['NP', ('geval', 'JJ'), ('nader', 'JJ'), ('geclausuleerd;bijlage', 'NN')]]","{'staan': 'stond', 'inschrijven': 'ingeschreven', 'opnemen': 'opgenomen', 'behorennen': 'behorende', 'voorkomen': 'voorkomend'}"
6,Artikel1,Onderdeel_4,Onderdeelb,,,,"waar ten hoogste 250 personen werkzaam zijn, blijkend uit de inschrijving in het handelsregister op 15maart 2020; en",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=b&z=2020-06-25&g=2020-06-25,"[['ADVP', ('waar', 'RB')], ['PP', ('ten', 'IN')], ['ADJP', ('hoogste', 'JJS')], ['NP', ('250', 'CD'), ('personen', 'NNS')], ['ADJP', ('werkzaam', 'JJ')], ['VP', ('zijn', 'MD')], ['VP', ('blijkend', 'VBG')], ['PP', ('uit', 'IN')], ['NP', ('de', 'DT'), ('inschrijving', 'NN')], ['PP', ('in', 'IN')], ['NP', ('het', 'DT'), ('handelsregister', 'NN')], ['PP', ('op', 'IN')]]",{'blijken': 'blijkend'}
7,Artikel1,Onderdeel_4,Onderdeelc,,,,die:,25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=c&z=2020-06-25&g=2020-06-25,"[['NP', ('die', 'PRP')]]",{}
8,Artikel1,Onderdeel_4,Onderdeelc,Onderdeel1,,,"voor zover het een onderneming, niet zijnde een horecaonderneming of een ambulante onderneming, betreft:",25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=c&o=1&z=2020-06-25&g=2020-06-25,"[['PP', ('voor', 'IN')], ['ADVP', ('zover', 'RB')], ['NP', ('het', 'PRP')], ['NP', ('een', 'DT'), ('onderneming', 'NN')], ['VP', ('zijnde', 'MD')], ['NP', ('een', 'DT'), ('horecaonderneming', 'NN')], ['NP', ('een', 'DT'), ('ambulante', 'JJ'), ('onderneming', 'NN')], ['VP', ('betreft', 'VBZ')]]",{'betreffen': 'betreft'}
9,Artikel1,Onderdeel_4,Onderdeelc,Onderdeel1,Onderdeel._1,,ten minste n vestiging heeft met een ander adres dan het privadres van de eigenaar of eigenaren van de onderneming; of,25-06-2020,jci1.3:c:BWBR0043324&artikel=1&o=c&o=1&z=2020-06-25&g=2020-06-25,"[['PP', ('ten', 'IN')], ['NP', ('minste', 'NN'), ('n', 'NN'), ('vestiging', 'NN')], ['VP', ('heeft', 'VBZ')], ['PP', ('met', 'IN')], ['NP', ('een', 'DT'), ('ander', 'PRP'), ('adres', 'NN')], ['ADVP', ('dan', 'RB')], ['NP', ('het', 'DT'), ('privadres', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('eigenaar', 'NN')], ['NP', ('eigenaren', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('onderneming', 'NN')]]",{'hebben': 'heeft'}
